Date,USD,IDR,JPY,CNY,AUD,GBP,EUR,SGD,VND,DKK,INR,ZAR,UGX
16-Mar-20,1,0.0000666,0.0094744,0.1423974,0.6130832,1.2271444,1.1156979,0.703136,0.0000431,0.14891,0.01350,0.06012,0.000266312
17-Mar-20,1,0.0000658,0.0093464,0.1424481,0.6005285,1.2091898,1.098177,0.699888,0.000043,0.14643,0.01348,0.06020,0.000266845
18-Mar-20,1,0.0000647,0.0092834,0.1421383,0.5888588,1.1860989,1.0933742,0.6937699,0.000043,0.14538,0.01343,0.05845,0.000264725
19-Mar-20,1,0.0000628,0.0091048,0.1405481,0.5796093,1.1615751,1.0801469,0.6904647,0.0000427,0.14423,0.01336,0.05756,0.000260926
20-Mar-20,1,0.0000628,0.0090454,0.1410318,0.5874405,1.1761938,1.0706638,0.6900835,0.0000426,0.14253,0.01328,0.05735,0.000261438
21-Mar-20,1,0.0000628,0.0090454,0.1410318,0.5874405,1.1761938,1.0706638,0.6900835,0.0000426,0.14253,0.01328,0.05735,0.000261438
22-Mar-20,1,0.0000628,0.0090454,0.1410318,0.5874405,1.1761938,1.0706638,0.6900835,0.0000426,0.14253,0.01328,0.05735,0.000261438
23-Mar-20,1,0.0000603,0.009053,0.1411672,0.580181,1.1598237,1.0782834,0.6848377,0.0000425,0.14336,0.01311,0.05650,0.0002574
24-Mar-20,1,0.0000613,0.0090366,0.1416471,0.5920313,1.1773016,1.0842459,0.6909895,0.0000424,0.14525,0.01312,0.05691,0.00025413
25-Mar-20,1,0.0000621,0.0089724,0.1408967,0.6017209,1.1832919,1.0827198,0.6917543,0.0000424,0.14548,0.01310,0.05755,0.000256082
26-Mar-20,1,0.0000621,0.0091371,0.1413707,0.6046315,1.2020676,1.0980564,0.6968156,0.0000423,0.14716,0.01333,0.05757,0.000258065
27-Mar-20,1,0.000062,0.0091966,0.1409225,0.6028454,1.223092,1.0976948,0.6964273,0.0000423,0.14801,0.01326,0.05687,0.000262123
