,index,no,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Matching P Tags,Top P Score Reports,Matching M Tags,Top M Score Reports,Top P Match Score,Top M Match Score,Top Agg Match (P&M),Top P Match UIDs,Top M Match UIDs,Top Agg Match UIDs
0,18,19,2021-02-13 03:00:00,38220090,Lain-lain,PT. INTERSKALA MEDIKA INDONESIA,"GREEN SEDAYU BIZ PARK BLOK DM 9/62, JALAN DAAN MOGOT KM.18, KEL. KALID",ID - Indonesia,.,.,.,.,"ANHUI DEEPBLUE MEDICAL TECHNOLOGY CO.,LT",ADD:1#. D ZONE FOUR FLOOR. PEARL  INDUSTRIAL PARK,China,0.0,492812.0,USD,3623.0,Kg.,3926.0,Kg.,250000.0,PCE,DEEPBLUE COVID-19 (SARS-COV-2) ANTIGEN TEST KIT (COLLOIDAL GOLD),200,CT,,,,,SOEKARNO-HATTA (U),SHANGHAI,CI502,,0,,,China,,,,,,,,19,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"gold,antigen,colloidal | gold,antigen,colloidal","{'antigen': 4, 'gold,colloidal': '1ea'} | {'antigen': 4, 'gold,colloidal': '1ea'}","technology,anhui,medical,deepblue | technology,anhui,medical,deepblue | technology,anhui,medical,deepblue | technology,anhui,medical,deepblue","{'anhui': 20, 'deepblue': 20, 'technology,medical': '1ea'} | {'anhui': 20, 'deepblue': 20, 'technology,medical': '1ea'} | {'anhui': 20, 'deepblue': 20, 'technology,medical': '1ea'} | {'anhui': 20, 'deepblue': 20, 'technology,medical': '1ea'}",6.0,42.0,90.0,625 | 611,148 | 149 | 147 | 146,148 | 146
1,23,24,2021-02-13 03:00:00,38220090,Lain-lain,PT. NUSANTARA MEDICA CEMERLANG,"JL. LETDA SUJONO NO.131, KEL. MEDAN ESTATE, KEC. PERCUT",ID - Indonesia,.,.,.,.,"HANGZHOU LIFEREAL BIOTECHNOLOGY CO.,LTD.","THE 4TH FLOOR,BUILDING A,JIN NIU ZUO,XIXI SOFTWARE",China,0.0,96000.0,USD,130.48,Kg.,350.0,Kg.,200.0,PCE,COVID-19 NUCLEIC ACID (RNA) DETECTION KIT (AIGS REAL TIME FLUORESCENT PCR METHOD) C0011-E,34,CT,,,,,SOEKARNO-HATTA (U),NANJING,SINGAPORE AIRLINE,,0,,,China,,,,,,,,24,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"time,pcr,real | time,pcr,real","{'time,real,pcr': '1ea'} | {'time,real,pcr': '1ea'}","biotechnology,hangzhou | biotechnology,hangzhou","{'hangzhou': 20, 'biotechnology': '1ea'} | {'hangzhou': 20, 'biotechnology': '1ea'}",3.0,10.5,11.0,651 | 1057,796 | 832,150
2,28,29,2021-02-13 03:00:00,38220090,Lain-lain,PT. NUSANTARA MEDICA CEMERLANG,"JL. LETDA SUJONO NO.131, KEL. MEDAN ESTATE, KEC. PERCUT",ID - Indonesia,.,.,.,.,"HANGZHOU LIFEREAL BIOTECHNOLOGY CO.,LTD.","THE 4TH FLOOR,BUILDING A,JIN NIU ZUO,XIXI SOFTWARE",China,0.0,96000.0,USD,130.48,Kg.,341.0,Kg.,200.0,PCE,COVID-19 NUCLEIC ACID (RNA) DETECTION KIT (AIGS REAL-TIME FLUORESCENT PCR METHOD) C0011-E,25,CT,,,,,SOEKARNO-HATTA (U),NANJING,SINGAPORE AIRLINE,,0,,,China,,,,,,,,29,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"time,pcr,real | time,pcr,real","{'time,real,pcr': '1ea'} | {'time,real,pcr': '1ea'}","biotechnology,hangzhou | biotechnology,hangzhou","{'hangzhou': 20, 'biotechnology': '1ea'} | {'hangzhou': 20, 'biotechnology': '1ea'}",3.0,10.5,11.0,651 | 1057,796 | 832,150
3,33,34,2021-02-13 03:00:00,38220090,Lain-lain,PT. OIKOS PERKASA,"JL. TELUK BETUNG NO.41,KEBON MELATI-TANAH ABANG,JAKARTA PUSAT",ID - Indonesia,.,.,.,.,SANSURE BIOTECH INC,"NO.680,LUSONG ROAD,HI-TECH DEVELOPMENT ZONE,YUELU",China,0.0,302400.0,USD,145.0,Kg.,157.0,Kg.,25200.0,PCE,NOVEL CORONA VIRUS (2019-NCOV) NUCLEIC ACID DIAGNOSTIC KIT (PCR-FLUORESCENCE PROBING),0,CT,,,,,SOEKARNO-HATTA (U),CHANGSHA,CHINA SOUTHERN AI,,0,,,China,,,,,,,,34,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"acid,novel,nucleic,fluorescence,diagnostic,2019,probing | acid,novel,nucleic,fluorescence,diagnostic,2019,probing","{'fluorescence,diagnostic,2019,acid,probing,novel,nucleic': '1ea'} | {'fluorescence,diagnostic,2019,acid,probing,novel,nucleic': '1ea'}","sansure,biotech | sansure,biotech | sansure,biotech | sansure,biotech","{'sansure': 20, 'biotech': '1ea'} | {'sansure': 20, 'biotech': '1ea'} | {'sansure': 20, 'biotech': '1ea'} | {'sansure': 20, 'biotech': '1ea'}",3.5,21.0,44.0,447 | 1050,917 | 987 | 936 | 950,917 | 987
4,103,104,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT MITRASAMAYA SEJATI,"RUKAN KENCAN NIAGA BLOK D1 NO.2J ,MERUYA UTARA ,KEMBANGAN,JAKARTA BARA",ID - Indonesia,.,.,.,.,INTEC PRODUCTS INC.(XIAMEN),"332 XINGUANG ROAD,,XINYANG INDUSTRIAL AREA,HAICANG",China,0.0,2894.2,USD,35.16,Kg.,1338.0,Kg.,30.0,KT,RAPID SARS-COV-2 ANTIBODY (IGM/IGG) TEST,0,CT,,,,,SOEKARNO-HATTA (U),SHENZHEN PT,CHINA EASTERN AIR,,0,,,China,,,,,,,,104,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"antibody,rapid","{'antibody': 4, 'rapid': 4}",products,{'products': '1ea'},8.0,0.25,8.0,1099,209,1099
5,155,156,2021-02-11 03:00:00,38220090,Lain-lain,PT ROCHE INDONESIA,"GEDUNG AIA LANTAI 32,33, 35, 36,JL JEND SUDIRMAN NOMOR 48A RT.003 / RW",ID - Indonesia,.,.,.,.,TIB MOLBIOL,"ERESBURGSTRASSE 22-23,BERLIN,BERLIN GERMANY",Germany,0.0,32237.1,EUR,5.04,Kg.,5.6,Kg.,400.0,PCE,SARS-COV-2 (COVID19) RDRP,0,PK,,,,,SOEKARNO-HATTA (U),BERLIN,K-MILE AIR,,0,,,Germany,,,,,,,,156,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,2 | 2 | rdrp | 2 | 2 | 2,{'2': '1ea'} | {'2': '1ea'} | {'rdrp': '1ea'} | {'2': '1ea'} | {'2': '1ea'} | {'2': '1ea'},,,0.25,0.0,0.25,727 | 70 | 1282 | 1240 | 531 | 680,,727 | 70 | 1282 | 1240 | 531 | 680
6,165,166,2021-02-11 03:00:00,38220090,Lain-lain,CHANGSHIN REKSA JAYA,"JL. RAYA LELES, KP. KARANGMEKAR, RT.02/RW.08. DESA CIBURIAL, KEC. LELES, KAB. GARUT, JAWA BARAT",ID - Indonesia,.,.,.,.,BUKYUNG MEDITECH CORPORATION,22 SASANG RO 394BEONGIL SASANG GU BUSAN INCHEON KOREAN REPUBLIC KOREA,South Korea,0.0,750.0,USD,9.5,Kg.,10.8,Kg.,500.0,PCE,GENBODY COVID-19 AG CAT NO. COVAG025,1,PK,,,,,SOEKARNO-HATTA (U),INCHEON,TH,,0,,,North Korea,,,,,,,,166,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"ag,genbody","{'genbody': 20, 'ag': 4}",corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation | corporation,{'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'} | {'corporation': '1ea'},24.0,0.5,24.0,297,25 | 23 | 293 | 294 | 365 | 51 | 283 | 669 | 670 | 1001 | 1000 | 542 | 540 | 541 | 681 | 680 | 679 | 996 | 40 | 661 | 12 | 321 | 322 | 638 | 121 | 724,297
7,186,187,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BINTANG CEMERLANG,ITC CEMPAKA MAS GROSIR LT.4 BLOK K NO.898 JL. LETJEN SUPRAPTO,ID - Indonesia,.,.,.,.,"XIAMEN JIQING BIOMEDICAL TECHNOLOGY CO.,","LTD. ADDRESS : UNIT 03, LEVEL 3, BUILDING 2,",China,0.0,5520.0,USD,104.0,Kg.,104.0,Kg.,4800.0,PCE,NOVEL CORONAVIRUS COVID-19 ANTIGEN TEST KIT (COLLOIDAL GOLD METHOD),10,PK,,,,,SOEKARNO-HATTA (U),SHENZHEN,CK,,0,,,China,,,,,,,,187,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"gold,antigen,colloidal | gold,antigen,colloidal","{'antigen': 4, 'gold,colloidal': '1ea'} | {'antigen': 4, 'gold,colloidal': '1ea'}","technology,biomedical | technology,biomedical | technology,biomedical | biomedical,xiamen","{'technology,biomedical': '1ea'} | {'technology,biomedical': '1ea'} | {'technology,biomedical': '1ea'} | {'biomedical,xiamen': '1ea'}",6.0,1.0,8.5,625 | 611,173 | 174 | 598 | 615,187
8,209,210,2021-02-11 03:00:00,38220020,"Kertas karton, gumpalan selulosa dan jaringan dari serat selulosa diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. PRATAMINDO MITRA RIZKY,"PERUM BOGORAMI INDAH REGENCY, JL. BULAK SETRO INDAH II BLOK B NO.51-52",ID - Indonesia,.,.,.,.,BIOSCIENCE (TIANJIN) DIAGNOSTIC TECH.,"NO.14, INTERNATIONAL MEDICAL DEVICE PARK, DONGLI",China,0.0,200000.0,USD,1890.5,Kg.,2064.0,Kg.,156600.0,PCE,NOVEL CORONAVIRUS (2019-NCOV) ANTIGEN RAPID TEST,95,CT,,,,,SOEKARNO-HATTA (U),BEIJING,BR,,0,,,China,,,,,,,,210,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"antigen,coronavirus,novel,rapid | antigen,coronavirus,novel,rapid","{'antigen': 4, 'rapid': 4, 'coronavirus,novel': '1ea'} | {'antigen': 4, 'rapid': 4, 'coronavirus,novel': '1ea'}","tianjin,diagnostic,bioscience","{'bioscience': 20, 'tianjin,diagnostic': '1ea'}",10.0,11.0,29.333333333333332,455 | 454,97,97
9,218,219,2021-02-11 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,9032000.0,IDR,0.83,Kg.,945.5,Kg.,20.0,PCE,9289313190 ANTI-SARS-COV-2 S PC ELECSYS,0,PK,,,,,SOEKARNO-HATTA (U),LUXEMBOURG,CARGOLUX AIRLINE,,0,,,Germany,,,,,,,,219,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx,"anti,elecsys","{'anti': 20, 'elecsys': 20}","diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche | diagnostics,roche","{'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'} | {'roche': 20, 'diagnostics': '1ea'}",40.0,21.0,87.0,777,131 | 132 | 133 | 252 | 256 | 643 | 647,777
