Date,USD,IDR,JPY,CNY,AUD,GBP,EUR,SGD,VND,,,Source,Download historical exchange rates from the ECB to excel (excelrates.com)
16 Mar 2020,1.00,0.0000666,0.0094744,0.1423974,0.6130832,1.2271444,1.1156979,0.7031360,0.0000431,,,VND,https://www.investing.com/currencies/vnd-usd-historical-data
17 Mar 2020,1.00,0.0000658,0.0093464,0.1424481,0.6005285,1.2091898,1.0981770,0.6998880,0.0000430,,,,
18 Mar 2020,1.00,0.0000647,0.0092834,0.1421383,0.5888588,1.1860989,1.0933742,0.6937699,0.0000430,,,,
19 Mar 2020,1.00,0.0000628,0.0091048,0.1405481,0.5796093,1.1615751,1.0801469,0.6904647,0.0000427,,,,
20 Mar 2020,1.00,0.0000628,0.0090454,0.1410318,0.5874405,1.1761938,1.0706638,0.6900835,0.0000426,,,,
21 Mar 2020,1.00,0.0000628,0.0090454,0.1410318,0.5874405,1.1761938,1.0706638,0.6900835,0.0000426,,,,
22 Mar 2020,1.00,0.0000628,0.0090454,0.1410318,0.5874405,1.1761938,1.0706638,0.6900835,0.0000426,,,,
23 Mar 2020,1.00,0.0000603,0.0090530,0.1411672,0.5801810,1.1598237,1.0782834,0.6848377,0.0000425,,,,
24 Mar 2020,1.00,0.0000613,0.0090366,0.1416471,0.5920313,1.1773016,1.0842459,0.6909895,0.0000424,,,,
25 Mar 2020,1.00,0.0000621,0.0089724,0.1408967,0.6017209,1.1832919,1.0827198,0.6917543,0.0000424,,,,
26 Mar 2020,1.00,0.0000621,0.0091371,0.1413707,0.6046315,1.2020676,1.0980564,0.6968156,0.0000423,,,,
27 Mar 2020,1.00,0.0000620,0.0091966,0.1409225,0.6028454,1.2230920,1.0976948,0.6964273,0.0000423,,,,
28 Mar 2020,1.00,0.0000620,0.0091966,0.1409225,0.6028454,1.2230920,1.0976948,0.6964273,0.0000423,,,,
29 Mar 2020,1.00,0.0000620,0.0091966,0.1409225,0.6028454,1.2230920,1.0976948,0.6964273,0.0000423,,,,
30 Mar 2020,1.00,0.0000610,0.0092459,0.1408530,0.6122949,1.2411568,1.1033874,0.7013606,0.0000423,,,,
31 Mar 2020,1.00,0.0000613,0.0092145,0.1408510,0.6097933,1.2359412,1.0956503,0.7008200,0.0000423,,,,
01 Apr 2020,1.00,0.0000600,0.0093033,0.1408312,0.6057669,1.2362468,1.0936133,0.6970584,0.0000424,,,,
02 Apr 2020,1.00,0.0000600,0.0093166,0.1409284,0.6069066,1.2430081,1.0906315,0.6983240,0.0000424,,,,
03 Apr 2020,1.00,0.0000602,0.0092101,0.1410238,0.5990176,1.2275964,1.0785160,0.6962819,0.0000424,,,,
04 Apr 2020,1.00,0.0000602,0.0092101,0.1410238,0.5990176,1.2275964,1.0785160,0.6962819,0.0000424,,,,
05 Apr 2020,1.00,0.0000602,0.0092101,0.1410238,0.5990176,1.2275964,1.0785160,0.6962819,0.0000424,,,,
06 Apr 2020,1.00,0.0000609,0.0091807,0.1410238,0.6065753,1.2291052,1.0790979,0.6971070,0.0000426,,,,
07 Apr 2020,1.00,0.0000620,0.0091818,0.1417274,0.6192334,1.2356357,1.0884946,0.7021979,0.0000426,,,,
08 Apr 2020,1.00,0.0000616,0.0091847,0.1415168,0.6178179,1.2360939,1.0870747,0.7005745,0.0000424,,,,
09 Apr 2020,1.00,0.0000630,0.0091836,0.1416651,0.6229753,1.2410027,1.0867203,0.7020500,0.0000425,,,,
10 Apr 2020,1.00,0.0000630,0.0091836,0.1416651,0.6229753,1.2410027,1.0867203,0.7020500,0.0000427,,,,
11 Apr 2020,1.00,0.0000630,0.0091836,0.1416651,0.6229753,1.2410027,1.0867203,0.7020500,0.0000427,,,,
12 Apr 2020,1.00,0.0000630,0.0091836,0.1416651,0.6229753,1.2410027,1.0867203,0.7020500,0.0000427,,,,
13 Apr 2020,1.00,0.0000630,0.0091836,0.1416651,0.6229753,1.2410027,1.0867203,0.7020500,0.0000427,,,,
14 Apr 2020,1.00,0.0000636,0.0093175,0.1417033,0.6396725,1.2564393,1.0962508,0.7063145,0.0000426,,,,
15 Apr 2020,1.00,0.0000634,0.0093093,0.1416009,0.6302786,1.2476606,1.0902747,0.7019022,0.0000427,,,,
16 Apr 2020,1.00,0.0000637,0.0092964,0.1414187,0.6305965,1.2492192,1.0888502,0.7006726,0.0000426,,,,
17 Apr 2020,1.00,0.0000642,0.0092932,0.1413667,0.6355259,1.2485953,1.0860122,0.7030371,0.0000427,,,,
18 Apr 2020,1.00,0.0000642,0.0092932,0.1413667,0.6355259,1.2485953,1.0860122,0.7030371,0.0000427,,,,
19 Apr 2020,1.00,0.0000642,0.0092932,0.1413667,0.6355259,1.2485953,1.0860122,0.7030371,0.0000427,,,,
20 Apr 2020,1.00,0.0000644,0.0092733,0.1413707,0.6356471,1.2433172,1.0860122,0.7026913,0.0000426,,,,
21 Apr 2020,1.00,0.0000637,0.0093109,0.1409443,0.6276676,1.2298610,1.0836584,0.6987144,0.0000426,,,,
22 Apr 2020,1.00,0.0000642,0.0092872,0.1411951,0.6318317,1.2359412,1.0867203,0.7007217,0.0000426,,,,
23 Apr 2020,1.00,0.0000642,0.0093063,0.1412549,0.6366994,1.2353305,1.0772380,0.7026419,0.0000426,,,,
24 Apr 2020,1.00,0.0000640,0.0092927,0.1412589,0.6374299,1.2342631,1.0800302,0.7014590,0.0000425,,,,
25 Apr 2020,1.00,0.0000640,0.0092927,0.1412589,0.6374299,1.2342631,1.0800302,0.7014590,0.0000425,,,,
26 Apr 2020,1.00,0.0000640,0.0092927,0.1412589,0.6374299,1.2342631,1.0800302,0.7014590,0.0000425,,,,
27 Apr 2020,1.00,0.0000650,0.0093375,0.1411911,0.6461618,1.2436264,1.0851872,0.7050694,0.0000426,,,,
28 Apr 2020,1.00,0.0000651,0.0093719,0.1413028,0.6499838,1.2490632,1.0876659,0.7059654,0.0000427,,,,
29 Apr 2020,1.00,0.0000653,0.0093854,0.1413128,0.6509569,1.2408487,1.0842459,0.7066139,0.0000427,,,,
30 Apr 2020,1.00,0.0000672,0.0093864,0.1418641,0.6552651,1.2514078,1.0875476,0.7097232,0.0000427,,,,
01 May 2020,1.00,0.0000672,0.0093864,0.1418641,0.6552651,1.2514078,1.0875476,0.7097232,0.0000427,,,,
02 May 2020,1.00,0.0000672,0.0093864,0.1418641,0.6552651,1.2514078,1.0875476,0.7097232,0.0000427,,,,
03 May 2020,1.00,0.0000672,0.0093864,0.1418641,0.6552651,1.2514078,1.0875476,0.7097232,0.0000427,,,,
04 May 2020,1.00,0.0000662,0.0093649,0.1415989,0.6427975,1.2448649,1.0942116,0.7061648,0.0000427,,,,
05 May 2020,1.00,0.0000662,0.0093708,0.1415989,0.6444545,1.2454851,1.0842459,0.7059654,0.0000427,,,,
06 May 2020,1.00,0.0000665,0.0094261,0.1408867,0.6339948,1.2385435,1.0807306,0.7047216,0.0000427,,,,
07 May 2020,1.00,0.0000665,0.0093839,0.1410895,0.6455361,1.2325897,1.0782834,0.7046223,0.0000427,,,,
08 May 2020,1.00,0.0000668,0.0094009,0.1413348,0.6526989,1.2386969,1.0842459,0.7075138,0.0000428,,,,
09 May 2020,1.00,0.0000668,0.0094009,0.1413348,0.6526989,1.2386969,1.0842459,0.7075138,0.0000428,,,,
10 May 2020,1.00,0.0000668,0.0094009,0.1413348,0.6526989,1.2386969,1.0842459,0.7075138,0.0000428,,,,
11 May 2020,1.00,0.0000668,0.0093182,0.1409682,0.6477943,1.2316788,1.0823682,0.7058159,0.0000429,,,,
12 May 2020,1.00,0.0000676,0.0093154,0.1411353,0.6531252,1.2370114,1.0857763,0.7070636,0.0000429,,,,
13 May 2020,1.00,0.0000676,0.0093524,0.1410477,0.6517205,1.2324378,1.0875476,0.7070636,0.0000428,,,,
14 May 2020,1.00,0.0000669,0.0093453,0.1407876,0.6421783,1.2195122,1.0792143,0.7019514,0.0000428,,,,
15 May 2020,1.00,0.0000670,0.0093465,0.1406747,0.6425496,1.2168411,1.0797970,0.7013115,0.0000428,,,,
16 May 2020,1.00,0.0000670,0.0093465,0.1406747,0.6425496,1.2168411,1.0797970,0.7013115,0.0000428,,,,
17 May 2020,1.00,0.0000670,0.0093465,0.1406747,0.6425496,1.2168411,1.0797970,0.7013115,0.0000428,,,,
18 May 2020,1.00,0.0000674,0.0093130,0.1405521,0.6472073,1.2149192,1.0831889,0.7021979,0.0000429,,,,
19 May 2020,1.00,0.0000677,0.0092797,0.1407162,0.6536802,1.2229424,1.0950504,0.7058657,0.0000429,,,,
20 May 2020,1.00,0.0000679,0.0092904,0.1408371,0.6580246,1.2262416,1.0957703,0.7068137,0.0000430,,,,
21 May 2020,1.00,0.0000679,0.0092890,0.1407499,0.6582845,1.2229424,1.0999890,0.7069136,0.0000430,,,,
22 May 2020,1.00,0.0000671,0.0092990,0.1401601,0.6531679,1.2174336,1.0903936,0.7025432,0.0000430,,,,
23 May 2020,1.00,0.0000671,0.0092990,0.1401601,0.6531679,1.2174336,1.0903936,0.7025432,0.0000430,,,,
24 May 2020,1.00,0.0000671,0.0092990,0.1401601,0.6531679,1.2174336,1.0903936,0.7025432,0.0000430,,,,
25 May 2020,1.00,0.0000680,0.0092875,0.1401306,0.6541506,1.2187690,1.0909884,0.7018529,0.0000429,,,,
26 May 2020,1.00,0.0000678,0.0093072,0.1402210,0.6635700,1.2348728,1.0974539,0.7053181,0.0000429,,,,
