"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,,,,,,,ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,0,10,10,15,11,,,,,,
Source: GF,Source: Path,Type of Test,Unique Identifier ,Merged Unique ID,Manufacturer Product Catalogue number,"Product Name
(IVD product)",product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Manufacturer HQ location- PATH,Manufactuer location- ADP ,Consolidated HQ Manufacturer Location [Info from Column I and J] (PATH Manufactuer HQ & ADP Manufacturer HQ),Phase ,Total SRA Criteria Eligibility ,Comments ,CE-IVD ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,IFU Link , IFU link Combined sources [Info from Column P&Q] (IFU links from ADP COVID-19 DPR & PATH),"Global Fund-Reference price per pack EXW, USD",ADP- Indicative purchase pricing (per test),"Global Fund- Reference price per test EXW, USD",Consolidated price per test (Global Fund- Reference price per test + ADP- Indicative purchase pricing (per test),NRA Pakistan ,NRA India,NRA Indonesia,NRA South Africa,NRA Philippines,Pakistan Merged ID,India Merged ID,Indonesia Merged ID,South Africa Merged ID,Philippines Merged ID,SRA Approval
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1173,1173,"NCP20042902
NCP20052204
NCP20051603",COVID-19 Rapid Test, rapid ,,"Inbios (Delhi), India",inbios delhi india,,,,,,,,,,,,,,,,,,,,,IND0233,,,,,IND0233,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,971,971,,1copy™ COVID-19 qPCR Multi Kit,1copy  qpcr multi ,,1drop Inc.,1drop ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0131,,,,,ZAF0131,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1026,1026,,1Copy COVID-19 qPCR 4plex Kit,1copy  qpcr 4plex ,,"1DROP INC. – A-203, Keumkang Penterium IT Tower 215, Galmachi-ro, Jungwon-gu, Seongnam-si, Gyeonggi-do, 13217, Republic of Korea",1drop a203 keumkang penterium it tower 215 galmachiro jungwongu seongnamsi gyeonggido 13217 republic of korea,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0036,,,,,PHL0036,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1,1,444213,1COPY COVID-19 QPCR KIT,1copy  qpcr ,100T/kit,1DROP INC. (imported by Luminarie Canada Inc.),1drop luminarie canada ,#N/A,#N/A,,,"US FDA EUA
",,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0398,,,,,IND0398,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1248,1248,CoV-19/V3.2/2020/02,TRUPCR SARS-CoV-2 RT-qPCR Kit (V-3.2) (Single Tube Multiplex format),trupcr qpcr  32 single tube multiplex format,,"3B Black Bio Biotech India Ltd., Bhopal, India",3b black bio biotech india  bhopal india,,,,,,,,,,,,,,,,,,,,,IND0399,,,,,IND0399,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,727,727,3B304,TRUPCR SARS-CoV-2 Kit,trupcr ,100T/kit,3B Blackbio Biotech India Ltd (a Kilpest India Ltd company),3b blackbio biotech india  kilpest india  company,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,958,958,,ANDIS SARS-COV-2 and influenza A/B RT -qPCR detection kit and Automated Nucleic Acids Extraction System,andis and influenza ab  qpcr detection  and automated nucleic acids extraction system,,3D Biomedicine Science & Technology Co,3d biomedicine science  technology co,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0113,,,,,ZAF0113,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,959,959,,ANDIS Viral RNA Auto extraction and purification kit,andis viral rna auto extraction and purification ,,3D Biomedicine Science & Technology Co,3d biomedicine science  technology co,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0114,,,,,ZAF0114,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,16,16,3103010011,3DMed 2019-nCoV RT-qPCR,3dmed 2019 qpcr,100T/kit,"3D Biomedicine Science & Technology Co., Ltd.",3d biomedicine science  technology ,#N/A,#N/A,,#N/A,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0118,,,,,IND0118,,,,
