manufacturer_keywords,product_keywords,Unique Identifier 
 art biotech,art ,1365
1drop ,1copy  qpcr multi ,971
1drop a203 keumkang penterium it tower 215 galmachiro jungwongu seongnamsi gyeonggido 13217 republic of korea,1copy  qpcr 4plex ,1026
1drop luminarie canada ,1copy  qpcr ,1
3b black bio biotech india  bhopal india,trupcr qpcr  32 single tube multiplex format,1248
3b blackbio biotech india  kilpest india  company,trupcr ,727
3d biomedicine science  technology ,3dmed 2019 qpcr,16
3d biomedicine science  technology co,andis and influenza ab  qpcr detection  and automated nucleic acids extraction system,958
3d biomedicine science  technology co,andis viral rna auto extraction and purification ,959
ab diagnopath manufacturing pvt ,innodetecttm cl  iso ,1249
ab diagnopath mfg pvt  delhi india,innodetect  ,1250
abbott diagnostics korea lnc65 borahagalro giheunggu yonginsi gyenoggido 17099 republic of korea,panbiotm ag rapid device nasopharyngeal,1040
"abbott diagnostics korea, abbott diagnostics korea","panbio ag rapid device, panbio ag rapid device nasal",835
abbott diagnostics scarborough ,binaxnow  ag 2 card,"71,1150,70"
abbott diagnostics scarborough ,binaxnow  ag card,72
abbott diagnostics scarborough ,binaxnow  ag card 2 home ,73
abbott diagnostics scarborough ,binaxnow  ag card home ,74
abbott diagnostics scarborough ,binaxnow  antigen self ,75
abbott diagnostics scarborough ,id now ,330
abbott diagnostics scarborough ,id now  and accessories,951
abbott diagnostics scarborough ,navica mobile app and binaxnow  ag card,430
abbott ireland diagnostics division finisklin business park sligo ireland,alinityi igg ,768
abbott ireland diagnostics division finisklin business park sligo ireland,alinityi igg ii quant ,767
abbott ireland diagnostics division finisklin business park sligo ireland,alinityi igm ,769
abbott ireland diagnostics division finisklin business park sligo ireland,architect igg ,771
abbott ireland diagnostics division finisklin business park sligo ireland,architect igg ii quant ,770
abbott ireland diagnostics division finisklin business park sligo ireland,architect igm ,772
"abbott laboratories, abbott laboratories, abbott rapid diagnostics division chicago alere medical pvt","panbio antigen self, panbio ag rapid device nasal, panbio antigen rapid device home nasal",488
"abbott laboratories, abbott rapid diagnostics division chicago","panbio ag rapid device nasopharyngeal, panbio antigen rapid nasopharyngeal",486
abbott molecular,abbott realtime ,"17,18"
abbott molecular,alinity   amp ,"32,33"
abbott molecular,alinity   amp  ,947
abbott molecular ,abbott realtime  assay    ,916
abbott molecular ,alinity resp 4 plex,975
abbott rapid diagnostics jena gmbh,panbio ag rapid device nasal,484
abbott rapid diagnostics jena gmbh orlaweg 1 07743 jena germany,panbio  iggigm rapid device fingerstickwhole bloodvenouswholebloodserumplasmaico t402,763
"abbott rapid diagnostics jena gmbh, abbott rapid diagnosticsjena gmbh orlaweg 1 07743 jena germany","panbio ag rapid device nasopharyngeal, panbio agrapid device nasopharyngeal",485
abi applied biosystems usa,taqman 2019 control  v1,1251
abon biopharm hangzhou ,panbio iggigm rapid  device fingerstick whole bloodvenous whole bloodserumplasma,843
abwiz bio,rabwiz ultra sensitive coiv 19 viral antigen elisa,544
accelerate technologies   dxd hub,resolute 20 detection ,580
accelerate technologies  dxd hub singapore,astar fortitude  20,1252
access bio ,atomo  antigen ,62
access bio ,carestart  antigen,108
access bio ,carestart  antigen home ,109
accubiotech ,accu tell iggigm cassettewholebloodserumplasma,905
accurex biomedical pvt  palghar maharashtra,accurex assay,1253
accurex biomedical pvt  palghar maharashtra,novel coronavirus 2019 nucleic acid detection  fluorescence method,1254
achira labs pvt ,genepath dx coviquick v20,1256
achira labs pvt ,genepath dx covispeedy,1255
achira labs pvt  bengaluru karnataka,gene path dx covi delta qpcr  me 2,1257
acon biotech hangzhou ,  antigen fia,610
acon biotech hangzhou ,flowflex antigen rapid ,282
acon biotech hangzhou ,promotor   ,805
acon biotech hangzhou no210 zhenzhong road west lake district hangzhou pr china,acon iggigm rapid ,1094
acon laboratories ,acon iggigmrapid ,21
acon laboratories  5850 oberlin drive 340 san diego ca 92121 usa,flowflex antigen rapid ,1038
acrannolife genomics pvt ,coviqwik lamp ,1258
acro biotech , antigen rapid  oral fluid,175
acro biotech , rapid antigen  family acro,210
acro biotech ,acro  antigen rapid  nasopharyngeal swab,836
acro biotech ,acro 2019 iggigm rapid  cassette whole bloodserumplasma,838
acro biotech ,juschek  and influenza ab antigen combo rapid  cassette,860
acro biotech ,juschek  antigen rapid  nasopharyngeal swab,828
acro biotech ,juschek 2019 novel coronavirus iggigm rapid  cassette,855
acumen research laboratories   singapore ,acucorona 20 bio rad cfx96 touch real time detection system,945
adaltis srl italy pug capital private limited,molgen realtime ,1259
adt biotech sdn bhd adt india private limited,lytestar 2019  20,1260
adt india  new delhi india,lytestar 2019  10,1261
adtec corporationlsi medicine corporation,prorast ag adtest  ,513
advagen biotech  brazil,  ag lf,602
advaite,rap rapid ,547
advanced biological laboratories abl sa,ultra gene combo2screen  cov2 assay,940
advanced molecular diagnostics amd uk diagnostic biosystems,zena max direct qpcr detection ,1262
advena limited,genedrive 96 ,949
advy chemical pvt ,ezdx  rapid ag ,276
advy chemical pvt  thane maharashtra india,ezdx  rapid ag ,1226
advy chemicals pvt ,ezdxtm  iggigm rapid antibody ,1180
aehealth limited,aehealth 19 antigen quantitative  immunofluorescence assay,834
aehealth limited,aehealth 19 neutralization antibody quantitative fluorescence immunochromatographic assay,842
aehealth limited,id lab 19 neutralization antibody quantitative fia,847
aesku diagnostics gmbh  kg mikroforum ring 2 d55234 wendelsheim germany,aeskulisa  np iggkitcodes 6122,766
affigenix biosolutions pvt ,holborn wells detect multiplex ivd qpcr  ,1263
affigenix biosolutions pvt ,rt qpcr  ,1264
affigenixbiosolutions pvt  bangalore india,affigenix act 1 3 genes multiplex ,1265
affigenixbiosolutionspvt  bangalore,affigenix  act ,1266
agappe diagnostic pvt kerala,ag  nantigen rapid diagnostickit,1119
agappe diagnostics,ag  antigen rapid diagnostic ,31
agappe diagnostics  kerala,direct  lamp  ,1267
agappe diagnostics  kerala india,agappe real time  lamp  ing ,1268
agena bioscience ,massarray  panel,"407,408,409"
agilent technologies ,agilent qrt dx ,999
ait biotech  ,abtes  qpcr ,935
aitbiotech   singapore hiddenite beverages private limited,abtes  qpcr  v11,1269
aitbiotech   singapore hiddenite beverages private limited,abtestm  qpcr ,1270
aivd biotech ,  antigen detection rapid lateral flow  colloidal gold based,607
aivd biotech ,  antigen detection rapid lateral flow  latex bead based lateral flow,608
ajay biotech india ,pathofind  realtime ,1271
alamar tecno cientifica a,antigen quick ,43
alchem diagnostics coimbatore, one step multiplex ,1272
alcotech  ,fastep  antigen rapid  device nasopharyngeal oropharyngeal swab,279
alfa scientific designs ,instant view plus  antigen ,353
alfresa pharma corporation,arsonic  ag,54
alpine biomedicals ambalaharyana india ,one step corona virus igmigg antibody  ,1163
alpine biomedicals pvt  ambala haryana india,alpine  antigen rapid  ,"37,1223"
alpine biomedicals pvt  ambala haryana india,alpine anti igg elisa ,1204
altona diagnostics germany,realstar  10,1273
altona diagnostics gmbh,realstar us,570
ameda labordiagnostik gmbh,amp rapid  ag,39
amedica sa,amela  antigen ,38
ammagen tamil nadu,ammagen ,1274
