,manufacturer_keywords,product_keywords,Unique Identifier 
0, art biotech,art ,1365
1,1drop ,1copy  qpcr multi ,971
2,1drop a203 keumkang penterium it tower 215 galmachiro jungwongu seongnamsi gyeonggido 13217 republic of korea,1copy  qpcr 4plex ,1026
3,1drop luminarie canada ,1copy  qpcr ,1
4,3b black bio biotech india  bhopal india,trupcr qpcr  32 single tube multiplex format,1248
5,3b blackbio biotech india  kilpest india  company,trupcr ,727
6,3d biomedicine science  technology ,3dmed 2019 qpcr,16
7,3d biomedicine science  technology co,andis and influenza ab  qpcr detection  and automated nucleic acids extraction system,958
8,3d biomedicine science  technology co,andis viral rna auto extraction and purification ,959
9,ab diagnopath manufacturing pvt ,innodetecttm cl  iso ,1249
10,ab diagnopath mfg pvt  delhi india,innodetect  ,1250
11,abbott diagnostics korea lnc65 borahagalro giheunggu yonginsi gyenoggido 17099 republic of korea,panbiotm ag rapid device nasopharyngeal,1040
12,"abbott diagnostics korea, abbott diagnostics korea","panbio ag rapid device, panbio ag rapid device nasal",835
13,abbott diagnostics scarborough ,binaxnow  ag 2 card,"71,1150,70"
14,abbott diagnostics scarborough ,binaxnow  ag card,72
15,abbott diagnostics scarborough ,binaxnow  ag card 2 home ,73
16,abbott diagnostics scarborough ,binaxnow  ag card home ,74
17,abbott diagnostics scarborough ,binaxnow  antigen self ,75
18,abbott diagnostics scarborough ,id now ,330
19,abbott diagnostics scarborough ,id now  and accessories,951
20,abbott diagnostics scarborough ,navica mobile app and binaxnow  ag card,430
21,abbott ireland diagnostics division finisklin business park sligo ireland,alinityi igg ,768
22,abbott ireland diagnostics division finisklin business park sligo ireland,alinityi igg ii quant ,767
23,abbott ireland diagnostics division finisklin business park sligo ireland,alinityi igm ,769
24,abbott ireland diagnostics division finisklin business park sligo ireland,architect igg ,771
25,abbott ireland diagnostics division finisklin business park sligo ireland,architect igg ii quant ,770
26,abbott ireland diagnostics division finisklin business park sligo ireland,architect igm ,772
27,"abbott laboratories, abbott laboratories, abbott rapid diagnostics division chicago alere medical pvt","panbio antigen self, panbio ag rapid device nasal, panbio antigen rapid device home nasal",488
