,"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,"vlookup to ""CE-markted tests""","ISNUMBER(SEARCH(""US FDA EUA"", R1))","ISNUMBER(SEARCH(""Health Canada/Interim Order"", R1))","ISNUMBER(SEARCH(""WHO EUL"", R1))","ISNUMBER(SEARCH(""PMDA"", R1))","ISNUMBER(SEARCH(""TGA"", R1))",ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,33,462,146,174,101,
Count Data,Source: GF,Source: Path,Type of Test,Unique Identifier,Merged Unique ID,Manufacturer Product Catalogue number,"Product Name
(IVD product)",Product name- Special characters removed,product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Manufacturer HQ location- PATH,Manufactuer location- ADP ,Consolidated HQ Manufacturer Location [Info from Column I and J] (PATH Manufactuer HQ & ADP Manufacturer HQ),Phase ,Total SRA Criteria Eligibility ,Comments ,CE-IVD ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,IFU Link , IFU link Combined sources [Info from Column P&Q] (IFU links from ADP COVID-19 DPR & PATH),"Global Fund-Reference price per pack EXW, USD",ADP- Indicative purchase pricing (per test),"Global Fund- Reference price per test EXW, USD",Consolidated price per test (Global Fund- Reference price per test + ADP- Indicative purchase pricing (per test),Pakistan Merged ID,India Merged ID,Indonesia Merged ID,South Africa Merged ID,Philippines Merged ID,SRA Approval
22,x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1,1,444213,1COPY COVID-19 QPCR KIT,,1copy  qpcr,24T/kit,1DROP INC. (imported by Luminarie Canada Inc.),1drop luminarie canada,,,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,IND0398,,,,Yes
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2,2,,2019 nCoV Ag Rapid Detection Kit,,2019 ag rapid detection,,Guangdong Longsee,guangdong longsee,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
23,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,3,3,INCP-402,2019-n-CoV IgG/IgM Rapid Test Cassette,,2019  iggigm rapid  cassette,see IFU,Hangzhou Alltest Biotech Co Ltd (China),hangzhou alltest biotech  china,,,,,TGA,,removed from US FDA EUA,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,IDN0007,,,Yes
23,x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,4,4,YF319C,2019-nCov Ab Test (Colloidal Gold),2019nCovAbTestColloidalGold,2019 ab  colloidal gold,see IFU,Innovita (Tangshan) Biological Technology Co Ltd (China),innovita tangshan biological technology  china,,,,,US FDA EUA TGA,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,PHL0154,Yes
21,x,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,5,5,,2019-nCoV Ag Saliva Rapid Test Card,2019nCoVAgSalivaRapidTestCard,2019 ag saliva rapid  card,,Guangzhou Decheng Biotechnology Co Ltd (China),guangzhou decheng biotechnology  china,China,,China,Test in development or commercialized,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,Yes
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,6,6,,2019-nCOV Ag Test,2019nCOVAgTest,2019 ag,,"Innovita (Tangshan) Biological Technology Co., Ltd",innovita tangshan biological technology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
19,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,7,7,,2019-nCoV Antigen Rapid Test (Colloidal Gold),2019nCoVAntigenRapidTestColloidalGold,2019 antigen rapid  colloidal gold,,"Sure Bio-Tech (USA) Co., Ltd",sure biotech usa,USA,,USA,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,8,8,,2019-nCoV Antigen Rapid Test Cassette,,2019 antigen rapid  cassette,,"Hunan Lituo Biotechnology Co., Ltd",hunan lituo biotechnology,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
18,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,9,9,,2019-nCoV Antigen Rapid Test Kit (colloidal gold assay),,2019 antigen rapid colloidal gold assay,,"Beijing Diagreat Biotechnologies Co., Ltd",beijing diagreat biotechnologies,China,,China,Test approved by one or more regulatory bodies,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
