"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,,,,,,,,,,,,,,,,
Source: GF,Source: Path,Type of Test,Manufacturer Product Catalogue number,"Product Name
 (IVD product)",product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Total Criteria Eligibility ,Comments ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,"Reference price per pack EXW, USD","Reference price per test EXW, USD"
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,444213,1COPY COVID-19 QPCR KIT,1copy  qpcr ,100T/kit,1DROP INC. (imported by Luminarie Canada Inc.),1drop luminarie canada ,"US FDA EUA
",,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,3B304,TRUPCR SARS-CoV-2 Kit,trupcr ,100T/kit,3B Blackbio Biotech India Ltd (a Kilpest India Ltd company),3b blackbio biotech india  kilpest india  company,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,3103010011,3DMed 2019-nCoV RT-qPCR,3dmed 2019 qpcr,100T/kit,"3D Biomedicine Science & Technology Co., Ltd.",3d biomedicine science  technology ,WHO EUL,,FALSE,FALSE,TRUE,FALSE,FALSE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,190-000,ID NOW COVID-19 Test Kit,id now ,96T/kit,Abbott Diagnostics Scarborough Inc,abbott diagnostics scarborough ,"US FDA EUA
 Health Canada/Interim Order PMDA
 TGA",,TRUE,TRUE,FALSE,TRUE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,09N78-090,Alinity m SARS-CoV-2 AMP Kit,alinity   amp ,192T/kit,Abbott Molecular,abbott molecular,Health Canada/Interim Order,,FALSE,TRUE,FALSE,FALSE,FALSE,,"$1,209.60",$12.60
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,09N78-095,Alinity m SARS-CoV-2 AMP Kit,alinity   amp ,96T/kit,Abbott Molecular,abbott molecular,US FDA EUA PMDA TGA,,TRUE,FALSE,FALSE,TRUE,TRUE,,"$1,209.60",$12.60
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,09N77-090,Abbott RealTime SARS-CoV-2 RT-PCR Kit,abbott realtime ,96T/kit,Abbott Molecular,abbott molecular,"Health Canada/Interim Order TGA
 WHO EUL",,FALSE,TRUE,TRUE,FALSE,TRUE,,$960.00,$10.00
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,09N77-095,Abbott RealTime SARS-CoV-2 RT-PCR Kit,abbott realtime ,96T/kit,Abbott Molecular,abbott molecular,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,$960.00,$10.00
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,,Resolute 2.0 SARS CoV-2 Detection Kit,resolute 20 detection ,see IFU,Accelerate Technologies Pte Ltd (DxD Hub),accelerate technologies   dxd hub,TGA,,FALSE,FALSE,FALSE,FALSE,TRUE,,#N/A,#N/A
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,13279F,"MassARRAY® SARS-CoV-2
 Panel",massarray panel,960T/kit,"Agena Bioscience, Inc.",agena bioscience ,US FDA EUA,,TRUE,FALSE,FALSE,FALSE,FALSE,,#N/A,#N/A
