NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS,source_data_row,source_file_name
19,2021-02-13 03:00:00,38220090,Lain-lain,PT. INTERSKALA MEDIKA INDONESIA,"GREEN SEDAYU BIZ PARK BLOK DM 9/62, JALAN DAAN MOGOT KM.18, KEL. KALID",ID - Indonesia,.,.,.,.,"ANHUI DEEPBLUE MEDICAL TECHNOLOGY CO.,LT",ADD:1#. D ZONE FOUR FLOOR. PEARL  INDUSTRIAL PARK,China,0.0,492812.0,USD,3623.0,Kg.,3926.0,Kg.,250000.0,PCE,DEEPBLUE COVID-19 (SARS-COV-2) ANTIGEN TEST KIT (COLLOIDAL GOLD),200,CT,,,,,SOEKARNO-HATTA (U),SHANGHAI,CI502,,0,,,China,,,,,,,,19,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
104,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT MITRASAMAYA SEJATI,"RUKAN KENCAN NIAGA BLOK D1 NO.2J ,MERUYA UTARA ,KEMBANGAN,JAKARTA BARA",ID - Indonesia,.,.,.,.,INTEC PRODUCTS INC.(XIAMEN),"332 XINGUANG ROAD,,XINYANG INDUSTRIAL AREA,HAICANG",China,0.0,2894.2,USD,35.16,Kg.,1338.0,Kg.,30.0,KT,RAPID SARS-COV-2 ANTIBODY (IGM/IGG) TEST,0,CT,,,,,SOEKARNO-HATTA (U),SHENZHEN PT,CHINA EASTERN AIR,,0,,,China,,,,,,,,104,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
156,2021-02-11 03:00:00,38220090,Lain-lain,PT ROCHE INDONESIA,"GEDUNG AIA LANTAI 32,33, 35, 36,JL JEND SUDIRMAN NOMOR 48A RT.003 / RW",ID - Indonesia,.,.,.,.,TIB MOLBIOL,"ERESBURGSTRASSE 22-23,BERLIN,BERLIN GERMANY",Germany,0.0,32237.1,EUR,5.04,Kg.,5.6,Kg.,400.0,PCE,SARS-COV-2 (COVID19) RDRP,0,PK,,,,,SOEKARNO-HATTA (U),BERLIN,K-MILE AIR,,0,,,Germany,,,,,,,,156,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
166,2021-02-11 03:00:00,38220090,Lain-lain,CHANGSHIN REKSA JAYA,"JL. RAYA LELES, KP. KARANGMEKAR, RT.02/RW.08. DESA CIBURIAL, KEC. LELES, KAB. GARUT, JAWA BARAT",ID - Indonesia,.,.,.,.,BUKYUNG MEDITECH CORPORATION,22 SASANG RO 394BEONGIL SASANG GU BUSAN INCHEON KOREAN REPUBLIC KOREA,South Korea,0.0,750.0,USD,9.5,Kg.,10.8,Kg.,500.0,PCE,GENBODY COVID-19 AG CAT NO. COVAG025,1,PK,,,,,SOEKARNO-HATTA (U),INCHEON,TH,,0,,,North Korea,,,,,,,,166,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
187,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BINTANG CEMERLANG,ITC CEMPAKA MAS GROSIR LT.4 BLOK K NO.898 JL. LETJEN SUPRAPTO,ID - Indonesia,.,.,.,.,"XIAMEN JIQING BIOMEDICAL TECHNOLOGY CO.,","LTD. ADDRESS : UNIT 03, LEVEL 3, BUILDING 2,",China,0.0,5520.0,USD,104.0,Kg.,104.0,Kg.,4800.0,PCE,NOVEL CORONAVIRUS COVID-19 ANTIGEN TEST KIT (COLLOIDAL GOLD METHOD),10,PK,,,,,SOEKARNO-HATTA (U),SHENZHEN,CK,,0,,,China,,,,,,,,187,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
219,2021-02-11 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,9032000.0,IDR,0.83,Kg.,945.5,Kg.,20.0,PCE,9289313190 ANTI-SARS-COV-2 S PC ELECSYS,0,PK,,,,,SOEKARNO-HATTA (U),LUXEMBOURG,CARGOLUX AIRLINE,,0,,,Germany,,,,,,,,219,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
307,2021-02-11 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,135480000.0,IDR,12.45,Kg.,945.5,Kg.,300.0,PCE,9289291190 ANTI-SARS-COV-2 S CS ELECSYS,0,PK,,,,,SOEKARNO-HATTA (U),LUXEMBOURG,CARGOLUX AIRLINE,,0,,,Germany,,,,,,,,307,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
383,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BINTANG CEMERLANG,ITC CEMPAKA MAS GROSIR LT.4 BLOK K NO.898 JL. LETJEN SUPRAPTO,ID - Indonesia,.,.,.,.,"XIAMEN JIQING BIOMEDICAL TECHNOLOGY CO.,","LTD. ADDRESS : UNIT 03, LEVEL 3, BUILDING 2,",China,0.0,4968.0,USD,93.0,Kg.,93.0,Kg.,4320.0,PCE,NOVEL CORONAVIRUS COVID-19 ANTIGEN TEST KIT (COLLOIDAL GOLD METHOD),9,PK,,,,,SOEKARNO-HATTA (U),SHENZHEN,CK,,0,,,China,,,,,,,,383,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
408,2021-02-11 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,6491200000.0,IDR,596.65,Kg.,945.5,Kg.,500.0,PCE,9289267190 ANTI-SARS-COV-2 S ELECSYS COBAS E 200,0,PK,,,,,SOEKARNO-HATTA (U),LUXEMBOURG,CARGOLUX AIRLINE,,0,,,Germany,,,,,,,,408,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
495,2021-02-10 03:00:00,38220090,Lain-lain,PT. GENBODY INDONESIA SEJAHTERA,"RUKO SEGITIGA MAS KAV. H-6, JL. A. YANI NO.221-223, BANDUNG, JAWA BARA",ID - Indonesia,.,.,.,.,OPTOLANE TECHNOLOGIES INC,"6F, 20, PANGYOYEOK-RO 24 1BEON-GIL, BUNDANG-GU, SE",South Korea,0.0,672.74,USD,40.0,Kg.,40.0,Kg.,5.0,KT,DR. PCR DIS20K SARS-COV-2 DETECTION KIT,0,PK,,,,,SOEKARNO-HATTA (U),INCHEON,KOREAN AIRLINES,,0,,,North Korea,,,,,,,,495,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
512,2021-02-10 03:00:00,38220020,"Kertas karton, gumpalan selulosa dan jaringan dari serat selulosa diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. TRIMITRA WISESA ABADI,KOMPLEK PERTOKOAN LINDETEVES TRADE CENTER LT.2 BLOK C 43 NO.27-28 JL.,ID - Indonesia,.,.,.,.,"KIN & COMPANY CO., LTD","4F MIJOO PLAZA, SUNGNAM-DAERO 343 BEONGIL 12-8,",South Korea,0.0,102860.0,USD,33.0,Kg.,33.0,Kg.,10000.0,PCE,LILIF COVID-19 MULTI REAL-TIME RT-PCR (INCLUDING DRY ICE) BAIK/BARU,0,PK,,,,,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,KOREAN AIRLINES,,0,,,United States,,,,,,,,512,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
527,2021-02-10 03:00:00,38220090,Lain-lain,PT. ROCHE INDONESIA,"GEDUNG AIA CENTRAL LT 32,33,35,36,JL JEND SUDIRMAN KAV 48A KEL KARET S",ID - Indonesia,.,.,.,.,ROCHE DIAGNOSTICS INTERNATIONAL LTD,FORRENSTRASSE 2 CH-6343 ROTKREUZ / SWITZERLAND,Switzerland,0.0,44235000.0,IDR,1.07,Kg.,101.0,Kg.,18.0,PCE,09175440190     KIT COBAS 6800 / 8800 SARS-COV-2 RMC,0,PK,,,,,SOEKARNO-HATTA (U),INDIANAPOLIS,EVA AIRLINE,,0,,,United States,,,,,,,,527,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
532,2021-02-10 03:00:00,38220090,Lain-lain,PT. RAFA TOPAZ UTAMA,JL.RADIN INTEN II TAMAN BUARAN INDAH I BLOK U NO.242 RT.006  RW.014 KL,ID - Indonesia,.,.,.,.,LIFOTRONIC TECHNOLOGY (HONG KONG) LIMITE,"19H, MAXGRAND PLAZA NO.3 TAI YAU STREET SAN PO KON",Hong Kong,0.0,159540.0,USD,1615.76,Kg.,5359.0,Kg.,391.0,PCE,SARS-COV-2 NUCLEIC ACID DETECTION KIT (MULTIPLEX PCR,0,PK,,,,,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,,0,,,Hong Kong,,,,,,,,532,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
537,2021-02-10 03:00:00,38220090,Lain-lain,PT. LANIROS DIAN PHARMA,"GEDUNG SATRIO TOWER LT.22, JL. PROF.DR.SATRIO KAV. C4, KEL.KEC.KOTA AD",ID - Indonesia,.,.,.,.,"ACRO BIOTECH, INC","9500 7TH ST, UNIT M, RANCHO CUCAMONGA, CA 91730",United States,0.0,208619.0,USD,1418.75,Kg.,1563.0,Kg.,100000.0,PCE,"JUSCHEK COVID-19 ANTIGEN RAPID TEST,20T/KIT (NASOPHARYNGEAL SWAB)",0,CT,,,,,SOEKARNO-HATTA (U),SHANGHAI PU DONG APT,JAPAN AIRLINES,,0,,,United States,,,,,,,,537,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
549,2021-02-10 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BIOTEK INTI KORPORINDO,"JL. GAJAH MADA NO. 3-5, KOMPLEK DUTA MERLIN BLOK D11-13, JAKARTA PUSAT",ID - Indonesia,.,.,.,.,RAPIGEN INC.,"3~F4,16 LS-RO,91 BEON-GIL,DONGAN-GU,ANYANG-SI,GYEO",South Korea,0.0,53260.2,USD,234.0,Kg.,261.0,Kg.,16000.0,PCE,BIOCREDIT COVID-19 AG -,20,CT,,,,,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,GARUDA INDONESIA,,0,,,North Korea,,,,,,,,549,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
553,2021-02-10 03:00:00,38220090,Lain-lain,PT. RAFA TOPAZ UTAMA,JL.RADIN INTEN II TAMAN BUARAN INDAH I BLOK U NO.242 RT.006  RW.014 KL,ID - Indonesia,.,.,.,.,LIFOTRONIC TECHNOLOGY (HONG KONG) LIMITE,"19H, MAXGRAND PLAZA NO.3 TAI YAU STREET SAN PO KON",Hong Kong,0.0,53128.9,USD,538.07,Kg.,5359.0,Kg.,500.0,PCE,SARS-COV-2 IGG (ELECTROCHEMILUMINESCENCE,0,PK,,,,,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,,0,,,Hong Kong,,,,,,,,553,Trade Atlas - 01-03-2022 - File ID 3602666925.xlsx
