,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Matching P Tags,Top P Score Reports,Matching M Tags,Top M Score Reports,Top P Match Score,Top M Match Score,Top Agg Match (P&M),Top P Match UIDs,Top M Match UIDs,Top Agg Match UIDs
0,2,3,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,2482.2,0.0,USD,0.0,,0.0,,12.0,KG,TEST KITS FOR HEPATITISHIVCORONA9N1201ALINITY M SAMPLE PREP KIT2 12 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,3,Pakistan Trade Atlas All 2021 HS 382200.csv,m,{'m': '1ea'},abbott | abbott | abbott | abbott | abbott | abbott,{'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20},0.25,10.0,10.0,889,916 | 17 | 18 | 32 | 33 | 975,916 | 17 | 18 | 32 | 33 | 975
1,15,16,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,1624.05,0.0,USD,0.0,,0.0,,3.0,KG,TEST KITS FOR CANCERHIVHCVCORONA RT CMV AMP KIT 3 KITFOC,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,16,Pakistan Trade Atlas All 2021 HS 382200.csv,amp,{'amp': 20},abbott | abbott | abbott | abbott | abbott | abbott,{'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20},6.666666666666667,10.0,16.0,39,916 | 17 | 18 | 32 | 33 | 975,39
2,33,34,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,28879.8,0.0,USD,0.0,,0.0,,370.0,KG,TEST KITS FOR HEPATITESHIVCORONA3L7860 RT PCR RNADNA PERP KIT 45 KITS COMBINED WITH CONSUMBLES 3N16011NO4J71751NO9N20037NO9N20044NO9N26019NO9N26191NOFOC9N26104,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,34,Pakistan Trade Atlas All 2021 HS 382200.csv,rt,{'rt': '1ea'},abbott | abbott | abbott | abbott | abbott | abbott,{'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20},1.0,10.0,10.0,1336,916 | 17 | 18 | 32 | 33 | 975,916 | 17 | 18 | 32 | 33 | 975
3,45,46,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,181516.8,0.0,USD,0.0,,0.0,,2608.0,KG,COVID19 AG RAPID T DEVICE 25T NP 41FK10,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,46,Pakistan Trade Atlas All 2021 HS 382200.csv,"rapid,ag | rapid,ag | rapid,ag","{'rapid': 4, 'ag': 4} | {'rapid': 4, 'ag': 4} | {'rapid': 4, 'ag': 4}","diagnostics,abbott,korea","{'abbott': 20, 'diagnostics,korea': '1ea'}",8.0,11.0,26.5,549 | 1122 | 156,835,835
4,65,66,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,QIAGEN GMBH,,Germany,30761.12,0.0,USD,0.0,,0.0,,28.57,KG,ARTUS SARSCOV2 PREPAMP UM KIT 768      QTY 5 PCS,0.0,,,,,,KPAF,,ARSHAD SUAULEH CORP,,0.0,,,,,,,,,,,66,Pakistan Trade Atlas All 2021 HS 382200.csv,5,{'5': '1ea'},"qiagen,gmbh | qiagen,gmbh","{'qiagen': 20, 'gmbh': 4} | {'qiagen': 20, 'gmbh': 4}",0.5,24.0,24.0,270,514 | 515,514 | 515
5,78,79,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,116858.4,0.0,USD,0.0,,0.0,,80.0,KG,9N7890ALNTY M SARSCOV2 AMP 192T KIT 80 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,79,Pakistan Trade Atlas All 2021 HS 382200.csv,amp,{'amp': 20},abbott | abbott | abbott | abbott | abbott | abbott,{'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20} | {'abbott': 20},6.666666666666667,10.0,16.0,39,916 | 17 | 18 | 32 | 33 | 975,39
6,81,82,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,139200.0,0.0,USD,0.0,,0.0,,2000.0,KG,COVID19 AG RAPID T DEVICE 25T NP 41FK10,0.0,,,,,,KPFI,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,82,Pakistan Trade Atlas All 2021 HS 382200.csv,"rapid,ag | rapid,ag | rapid,ag","{'rapid': 4, 'ag': 4} | {'rapid': 4, 'ag': 4} | {'rapid': 4, 'ag': 4}","diagnostics,abbott,korea","{'abbott': 20, 'diagnostics,korea': '1ea'}",8.0,11.0,26.5,549 | 1122 | 156,835,835
7,89,90,29-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,54575.64,0.0,USD,0.0,,0.0,,150.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V2 100RXNBOX QTY 150 KITS,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,90,Pakistan Trade Atlas All 2021 HS 382200.csv,"detection,coronavirus,novel | detection,novel,coronavirus | detection,novel,coronavirus","{'detection': 1, 'coronavirus,novel': '1ea'} | {'detection': 1, 'novel,coronavirus': '1ea'} | {'detection': 1, 'novel,coronavirus': '1ea'}",,,1.5,0.0,1.5,1326 | 1327 | 461,,1326 | 1327 | 461
8,97,98,29-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBAL CLINICAL CURA,.,PK - Pakistan,.,.,.,.,JIANGSU BIOPERFECTUS TECHNOLOGIES,,China,80000.0,0.0,USD,0.0,,0.0,,303.0,KG,01....COVID 19 CORONAVIRUS REAL TIME PCR KIT LOT NO.20211114 02078 EXP DATE 21112022 BIO PERFECTUS BRAND ORIGIN GERMANY QTY100000 KITS50 TESTS PER KIT...WEIGHT 303 KGS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,98,Pakistan Trade Atlas All 2021 HS 382200.csv,"time,real,pcr | time,real,pcr","{'time,real,pcr': '1ea'} | {'time,real,pcr': '1ea'}","jiangsu,technologies,bioperfectus | jiangsu,technologies,bioperfectus","{'bioperfectus': 20, 'jiangsu,technologies': '1ea'} | {'bioperfectus': 20, 'jiangsu,technologies': '1ea'}",3.0,22.0,47.0,651 | 1057,446 | 1154,1154
9,245,246,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,XIAMEN ZEESAN BIOTECH CO LTD,,China,19133.0,0.0,USD,0.0,,0.0,,400.0,KG,DIAGNOSTIC REAGENTS          LABAID VIRUS RNA EXTRACTION KIT LABAID 824s       FOR COVID19 TESTING CE.            QTY 300 PCS,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,246,Pakistan Trade Atlas All 2021 HS 382200.csv,reagents,{'reagents': 4},"xiamen,biotech,zeesan","{'biotech_zeesan': 20, 'xiamen': '1ea'}",2.0,10.5,10.5,66,651,651
10,250,251,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHOHAN & COMPANY.,21 Bahadurabad Block 03 Karachi,PK - Pakistan,.,.,.,.,"HANGZHOU ALLTEST BIOTECH CO.,LTD",,China,15086.0,0.0,USD,0.0,,0.0,,38.0,KG,"1 COVID 19 ANTIGEN RAPID TEST, ORIGIN FRANCE, APPROX NET WT 947 KGS,",0.0,,,,,,KAPE,,,,0.0,,,,,,,,,,,251,Pakistan Trade Atlas All 2021 HS 382200.csv,"antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid","{'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4} | {'antigen': 4, 'rapid': 4}","alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou | alltest,biotech,hangzhou","{'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'} | {'alltest': 20, 'hangzhou': 20, 'biotech': '1ea'}",8.0,41.0,87.33333333333333,171 | 209 | 550 | 618 | 648 | 1245 | 613 | 1243 | 643 | 1074 | 185,190 | 180 | 181 | 182 | 617 | 176 | 177 | 178 | 623 | 861 | 151 | 599 | 221 | 317,178 | 221
