no,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
83,2021-11-19 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",BIOSYSTEMS REAGENTS & INSTRUMENTS INC,"74 SCT. DR. LAZCANO ST., BRGY. LAGING HANDA, QUEZON CITY",PH - Philippines,4127689,.,BIOSYSTEMS@BIOSYSTEMS.PH,.,HONGKONG KING PLUS INTL.CO LTD,,Hong Kong,13000.0,15220.0,USD,162.0,Kg.,197.0,Kg.,0.0,,14 CRTNS OF SARS-COV-2 ANTIGEN TEST KIT FOR NASOPHARYNGEAL SWAB 25T (COLLOIDAL GOLD) FOR PROFESSIONAL USE . QTY 400 KITS,14,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,1,Philippines 2021-version9-tiers.csv
405,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ROCHE (PHILIPPINES) INC,"1804 AND 19TH FLR ONE GLOBAL PLACE BLDG., 5TH AVE. COR 25TH ST.BONIFAC, TAGUIG CITY",PH - Philippines,027187777,.,MINETTE.GREGORIO@ROCHE.COM,.,"ROCHE DIAGNOSTICS GMBH, DOSLF ",,Germany,822.3,866.6,USD,2.2,Kg.,2.71,Kg.,0.0,,09216928190 ANTI-SARS-COV-2 PC ELECSYS,0,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,2,Philippines 2021-version9-tiers.csv
453,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",OMNIBUS BIO-MEDICAL SYSTEMS INC.,"4TH FLOOR WILSON CORPORATE CENTER 225 WILSON STREET GREENHILLS, SAN JUAN CITY",PH - Philippines,7224607,.,VAN@OMNIBUS.PH,.,SANSURE (SHANGHAI) GENE,,China,40009.7,44003.4,USD,275.0,Kg.,308.0,Kg.,0.0,,"2,747 PCS OF NOVEL CORONAVIRUS (2019-NCOV) NUCLEIC ACID DIAGNOSTIC KIT (PCR-FLUORESCENCE PROBING)",11,,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,3,Philippines 2021-version9-tiers.csv
590,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ROCHE (PHILIPPINES) INC,"1804 AND 19TH FLR ONE GLOBAL PLACE BLDG., 5TH AVE. COR 25TH ST.BONIFAC, TAGUIG CITY",PH - Philippines,027187777,.,MINETTE.GREGORIO@ROCHE.COM,.,ROCHE DIAGNOSTICS CORP,,India,15435.2,16772.0,USD,32.77,Kg.,37.02,Kg.,0.0,,09211101190 KIT COBAS LIAT SARS-COV-2/FLU,0,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,4,Philippines 2021-version9-tiers.csv
617,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SCIENTIFIC BIOTECH SPECIALTIES INC.,"6023 SACRED HEART COR KAMAGONG ST SAN ANTONIO MAKATI CITY, MAKATI CITY",PH - Philippines,8244551,.,SBSI.DIAG@SBSI.COM.PH,.,OPTI MEDICAL SYSTEMS INC,,United States,56250.0,59447.0,USD,21.74,Kg.,31.27,Kg.,0.0,,OPTI SARS-COV-2 RT-PCR TEST 500 99-57004 25PCS,0,,EXW,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,5,Philippines 2021-version9-tiers.csv
629,2021-11-18 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,"8 BONIFACIO ST., POBLACION EAST SAN NICOLAS, PANGASINAN",PH - Philippines,0755733670,.,MUREXDIAGNOSTICS@YAHOO.COM,.,BODITECH MED INC,,South Korea,2592.0,3804.5,USD,197.14,Kg.,200.66,Kg.,0.0,,150PCS AFIAS COVID-19 AG 24T/BOX,1,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,6,Philippines 2021-version9-tiers.csv
716,2021-11-17 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SPARTI LOGISTICS CORP.,"UNIT 2K 8005 DON JESUS BLVD., OMNI ARCADE ALABANG HILLS CUPANG, MUNTINLUPA CITY",PH - Philippines,024041209,.,SPARTILOGISTICSCORPORATION@GMAIL.COM,.,VAZYME,,Hong Kong,1200.0,1287.1,USD,32.5,Kg.,32.5,Kg.,0.0,," """"VAZYME"""" MEDICAL 2019-Novel Coronavirus  2019-nCoV  Triplex RT-qPCR Detection Kit  CD302-02 ",1,PACKAGE,DAP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,7,Philippines 2021-version9-tiers.csv
1031,2021-11-17 03:00:00,38220030000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Sterilisation indicator strips and tapes",NIHON GARTER PHILIPPINES INC,"LOT 12 BLK 8 MAIN AVENUE CAVITE ECONOMIC ZONE, ROSARIO, CAVITE",PH - Philippines,0464372315,.,E_ESPESO@GARTER-PH.NET,.,YAC GARTER CO LTD,,Japan,1892.5,1892.5,USD,45.0,Kg.,48.0,Kg.,0.0,,COVER TAPE,0,PACKAGE,FOB,,,,MANILA INTERNATIONAL CONTAINER TERMINAL,,,,0,,,,,,,,,,,8,Philippines 2021-version9-tiers.csv
1114,2021-11-16 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,,South Korea,280000.0,307300.0,USD,1512.0,Kg.,1562.0,Kg.,0.0,,AF41FK11CFE PANBIO COVID 19 AG RAPID T DEVICE 25T NS 41FK11 2800 EA,8,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,9,Philippines 2021-version9-tiers.csv
1128,2021-11-16 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,,South Korea,120000.0,131700.0,USD,635.0,Kg.,663.0,Kg.,0.0,,AF41FK10CFC COVID 19 AG D 25T NP NCF V2 41FK10 1200 EA,4,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,10,Philippines 2021-version9-tiers.csv
1174,2021-11-16 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",TECSURGE  INC.,.,PH - Philippines,.,.,.,.,UPS-BROKERAGE SINGAPORE,,Singapore,644.7,692.6,USD,2.0,Kg.,2.5,Kg.,0.0,,PANBIO COVID 19 ANTIGEN SELF TEST 5PCS,1,,FCA,,,,PORT OF CLARK,,,,0,,,,,,,,,,,11,Philippines 2021-version9-tiers.csv
1329,2021-11-15 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",KHEALTH CORPORATION,"NKTI COMPOUND EAST AVENUE DILIMAN, QUEZON CITY",PH - Philippines,8475017,.,BHINGNG@HOTMAIL.COM,.,CAREBRIDGE LTD,,South Korea,10632.7,10859.2,USD,4.31,Kg.,4.31,Kg.,0.0,," """"CAREBRIDGE"""" SD BIOSENSOR COVID-19 AG HOME TEST , FPSMA PRODUCTION KITS FOR GE TRACERLAB MX",1,PACKAGE,DAP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,12,Philippines 2021-version9-tiers.csv
1397,2021-11-15 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",LABX CORPORATION,.,PH - Philippines,.,.,.,.,LANSION BIOTECHNOLOGY CO LTD,,China,13200.0,14586.4,USD,146.0,Kg.,161.0,Kg.,0.0,,15 CARTONS 12000 TESTS COVID 19 ANTIGEN TEST KIT (DRY FLUORESCENCE IMMUNOASSAY),17,PACKAGE,EXW,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,13,Philippines 2021-version9-tiers.csv
1436,2021-11-13 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",MULTI GLOBAL TRADEX INC,.,PH - Philippines,.,.,.,.,RAPIGEN INC,,South Korea,338.4,455.2,USD,36.89,Kg.,36.9,Kg.,0.0,,(TEST KITS) RAPIGEN BIOCREDIT COVID-19 2000EA,3,,FCA,,,,PORT OF CLARK,,,,0,,,,,,,,,,,14,Philippines 2021-version9-tiers.csv
1439,2021-11-13 03:00:00,38220030000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Sterilisation indicator strips and tapes","6 ANAHOW ROAD, NORTH FORBES PARK",.,PH - Philippines,.,.,.,.,RUBEN LACAP,,United States,300.0,437.0,USD,3.22,Kg.,3.22,Kg.,0.0,,400 MEDICAL SUPPLIES - COVID TEST KITS,1,PACKAGE,FCA,,,,PORT OF CLARK,,,,0,,,,,,,,,,,15,Philippines 2021-version9-tiers.csv
1578,2021-11-12 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,"8 BONIFACIO ST., POBLACION EAST SAN NICOLAS, PANGASINAN",PH - Philippines,0755733670,.,MUREXDIAGNOSTICS@YAHOO.COM,.,HUMASIS CO LTD,,South Korea,16500.0,18879.6,USD,340.0,Kg.,429.0,Kg.,0.0,,600PCS RAPID TEST KIT (PLASTIC DEVICE) HUMASIS COVID-19 AG TEST (25T/KIT),42,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,16,Philippines 2021-version9-tiers.csv
1591,2021-11-12 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SPARTI LOGISTICS CORP.,"UNIT 2K 8005 DON JESUS BLVD., OMNI ARCADE ALABANG HILLS CUPANG, MUNTINLUPA CITY",PH - Philippines,024041209,.,SPARTILOGISTICSCORPORATION@GMAIL.COM,.,RAPIGEN INC.,,South Korea,39432.0,42599.0,USD,362.7,Kg.,382.0,Kg.,0.0,,"24,800TEST BIOCREDIT COVID 19 AG 1240KIT/20TEST/KIT",31,,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,17,Philippines 2021-version9-tiers.csv
