ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS,REQUIRES_MANUAL_VERIFICATION,test_quantity_final,Auto_Data_Quality_index,Test_Type,IMPORT_VALUE_CIF_USD,VOLUME1_PCE,VOLUME2_BOX,PER_PCE_GROSS_WEIGHT,PER_BOX_GROSS_WEIGHT,PER_PCE_NET_WEIGHT,PER_BOX_NET_WEIGHT,PER_PCE_UNIT_PRICE,PER_BOX_UNIT_PRICE,EQUAL_VOLUMES,PCE_NET_WEIGHT_CHECK,PCE_GROSS_WEIGHT_CHECK,BOX_NET_WEIGHT_CHECK,BOX_GROSS_WEIGHT_CHECK,PCE_PRICE_CHECK,BOX_PRICE_CHECK,PCE_COUNT_IGNORE,BOX_COUNT_IGNORE,QUANTITY_UNIT_FINAL,product_match,MATCH_PERCENT,MRL_CHECK,DQI_FINAL,UNIQUE_ID_PULL,ADP- Indicative purchase pricing (per test),"Global Fund- Reference price per test EXW, USD",Consolidated price per test (Global Fund- Reference price per test + ADP- Indicative purchase pricing (per test),UNIT_PRICE_MATCH,Reference detail,REFERENCE_DETAIL_MATCH
2021-11-19 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",BIOSYSTEMS REAGENTS & INSTRUMENTS INC,"74 SCT. DR. LAZCANO ST., BRGY. LAGING HANDA, QUEZON CITY",PH - Philippines,4127689,.,BIOSYSTEMS@BIOSYSTEMS.PH,.,HONGKONG KING PLUS INTL.CO LTD,0,Hong Kong,13000.0,15220.0,USD,162.0,Kg.,197.0,Kg.,1.0,0,14 CRTNS OF SARS-COV-2 ANTIGEN TEST KIT FOR NASOPHARYNGEAL SWAB 25T (COLLOIDAL GOLD) FOR PROFESSIONAL USE . QTY 400 KITS,14,0,CIP,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,15220.0,1.0,25.0,197.0,7.88,162.0,6.48,15220.0,608.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-18 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,"8 BONIFACIO ST., POBLACION EAST SAN NICOLAS, PANGASINAN",PH - Philippines,0755733670,.,MUREXDIAGNOSTICS@YAHOO.COM,.,BODITECH MED INC,0,South Korea,2592.0,3804.5,USD,197.14,Kg.,200.66,Kg.,1.0,0,150PCS AFIAS COVID-19 AG 24T/BOX,1,0,CPT,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,Keyword and Two Values are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,3804.5,1.0,,200.66,,197.14,,3804.5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-16 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,0,South Korea,280000.0,307300.0,USD,1512.0,Kg.,1562.0,Kg.,1.0,0,AF41FK11CFE PANBIO COVID 19 AG RAPID T DEVICE 25T NS 41FK11 2800 EA,8,0,CPT,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,307300.0,1.0,25.0,1562.0,62.48,1512.0,60.48,307300.0,12292.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-16 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,0,South Korea,120000.0,131700.0,USD,635.0,Kg.,663.0,Kg.,1.0,0,AF41FK10CFC COVID 19 AG D 25T NP NCF V2 41FK10 1200 EA,4,0,CPT,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,131700.0,1.0,25.0,663.0,26.52,635.0,25.4,131700.0,5268.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-16 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",TECSURGE  INC.,.,PH - Philippines,.,.,.,.,UPS-BROKERAGE SINGAPORE,0,Singapore,644.7,692.6,USD,2.0,Kg.,2.5,Kg.,1.0,0,PANBIO COVID 19 ANTIGEN SELF TEST 5PCS,1,0,FCA,0,0.0,0.0,PORT OF CLARK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,692.6,1.0,1.0,2.5,2.5,2.0,2.0,692.6,692.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,MARKB COVID19 ANTIGEN S TEST,0.7575757575757576,1,25,406.0,,,,,nan,0
2021-11-15 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",KHEALTH CORPORATION,"NKTI COMPOUND EAST AVENUE DILIMAN, QUEZON CITY",PH - Philippines,8475017,.,BHINGNG@HOTMAIL.COM,.,CAREBRIDGE LTD,0,South Korea,10632.7,10859.2,USD,4.31,Kg.,4.31,Kg.,1.0,0," """"CAREBRIDGE"""" SD BIOSENSOR COVID-19 AG HOME TEST , FPSMA PRODUCTION KITS FOR GE TRACERLAB MX",1,PACKAGE,DAP,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,10859.2,1.0,1.0,4.31,4.31,4.31,4.31,10859.2,10859.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-15 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",LABX CORPORATION,.,PH - Philippines,.,.,.,.,LANSION BIOTECHNOLOGY CO LTD,0,China,13200.0,14586.4,USD,146.0,Kg.,161.0,Kg.,1.0,0,15 CARTONS 12000 TESTS COVID 19 ANTIGEN TEST KIT (DRY FLUORESCENCE IMMUNOASSAY),17,PACKAGE,EXW,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,14586.4,1.0,15.0,161.0,10.733333333333333,146.0,9.733333333333333,14586.4,972.4266666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-12 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,"8 BONIFACIO ST., POBLACION EAST SAN NICOLAS, PANGASINAN",PH - Philippines,0755733670,.,MUREXDIAGNOSTICS@YAHOO.COM,.,HUMASIS CO LTD,0,South Korea,16500.0,18879.6,USD,340.0,Kg.,429.0,Kg.,1.0,0,600PCS RAPID TEST KIT (PLASTIC DEVICE) HUMASIS COVID-19 AG TEST (25T/KIT),42,0,CPT,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,Keyword and Two Values are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,18879.6,1.0,,429.0,,340.0,,18879.6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-12 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SPARTI LOGISTICS CORP.,"UNIT 2K 8005 DON JESUS BLVD., OMNI ARCADE ALABANG HILLS CUPANG, MUNTINLUPA CITY",PH - Philippines,024041209,.,SPARTILOGISTICSCORPORATION@GMAIL.COM,.,RAPIGEN INC.,0,South Korea,39432.0,42599.0,USD,362.7,Kg.,382.0,Kg.,1.0,0,"24,800TEST BIOCREDIT COVID 19 AG 1240KIT/20TEST/KIT",31,0,FOB,0,0.0,0.0,NINOY AQUINO INTERNATIONAL AIRPORT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,42599.0,1.0,1.0,382.0,382.0,362.7,362.7,42599.0,42599.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,nan,0.0,0,0,,,,,,nan,0
2021-11-12 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",LABX CORP,.,PH - Philippines,.,.,.,.,CO DRAGON WELL TRANSPORATION LTD,0,Hong Kong,500.0,730.0,USD,14.3,Kg.,14.3,Kg.,1.0,0,500 BOX SARS-COV-2 ANTIGEN TEST KIT,2,PACKAGE,CFR,0,0.0,0.0,PORT OF CLARK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,730.0,1.0,500.0,14.3,0.0286,14.3,0.0286,730.0,1.46,0,0.0,0.0,1.0,1.0,0.0,1.0,0,3,BOX,COVIDXSARSCOV2 RAPID ANTIGEN TEST KIT,0.7714285714285715,1,100,229.0,,,,,25T/kit,0
