no,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
83,2021-11-19 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",BIOSYSTEMS REAGENTS & INSTRUMENTS INC,"74 SCT. DR. LAZCANO ST., BRGY. LAGING HANDA, QUEZON CITY",PH - Philippines,4127689,.,BIOSYSTEMS@BIOSYSTEMS.PH,.,HONGKONG KING PLUS INTL.CO LTD,,Hong Kong,13000.0,15220.0,USD,162.0,Kg.,197.0,Kg.,0.0,,14 CRTNS OF SARS-COV-2 ANTIGEN TEST KIT FOR NASOPHARYNGEAL SWAB 25T (COLLOIDAL GOLD) FOR PROFESSIONAL USE . QTY 400 KITS,14,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,83,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
405,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ROCHE (PHILIPPINES) INC,"1804 AND 19TH FLR ONE GLOBAL PLACE BLDG., 5TH AVE. COR 25TH ST.BONIFAC, TAGUIG CITY",PH - Philippines,027187777,.,MINETTE.GREGORIO@ROCHE.COM,.,"ROCHE DIAGNOSTICS GMBH, DOSLF ",,Germany,822.3,866.6,USD,2.2,Kg.,2.71,Kg.,0.0,,09216928190 ANTI-SARS-COV-2 PC ELECSYS,0,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,405,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
453,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",OMNIBUS BIO-MEDICAL SYSTEMS INC.,"4TH FLOOR WILSON CORPORATE CENTER 225 WILSON STREET GREENHILLS, SAN JUAN CITY",PH - Philippines,7224607,.,VAN@OMNIBUS.PH,.,SANSURE (SHANGHAI) GENE,,China,40009.7,44003.4,USD,275.0,Kg.,308.0,Kg.,0.0,,"2,747 PCS OF NOVEL CORONAVIRUS (2019-NCOV) NUCLEIC ACID DIAGNOSTIC KIT (PCR-FLUORESCENCE PROBING)",11,,FOB,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,453,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
590,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",ROCHE (PHILIPPINES) INC,"1804 AND 19TH FLR ONE GLOBAL PLACE BLDG., 5TH AVE. COR 25TH ST.BONIFAC, TAGUIG CITY",PH - Philippines,027187777,.,MINETTE.GREGORIO@ROCHE.COM,.,ROCHE DIAGNOSTICS CORP,,India,15435.2,16772.0,USD,32.77,Kg.,37.02,Kg.,0.0,,09211101190 KIT COBAS LIAT SARS-COV-2/FLU,0,,CIP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,590,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
617,2021-11-18 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SCIENTIFIC BIOTECH SPECIALTIES INC.,"6023 SACRED HEART COR KAMAGONG ST SAN ANTONIO MAKATI CITY, MAKATI CITY",PH - Philippines,8244551,.,SBSI.DIAG@SBSI.COM.PH,.,OPTI MEDICAL SYSTEMS INC,,United States,56250.0,59447.0,USD,21.74,Kg.,31.27,Kg.,0.0,,OPTI SARS-COV-2 RT-PCR TEST 500 99-57004 25PCS,0,,EXW,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,617,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
629,2021-11-18 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,"8 BONIFACIO ST., POBLACION EAST SAN NICOLAS, PANGASINAN",PH - Philippines,0755733670,.,MUREXDIAGNOSTICS@YAHOO.COM,.,BODITECH MED INC,,South Korea,2592.0,3804.5,USD,197.14,Kg.,200.66,Kg.,0.0,,150PCS AFIAS COVID-19 AG 24T/BOX,1,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,629,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
716,2021-11-17 03:00:00,38220090000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Other",SPARTI LOGISTICS CORP.,"UNIT 2K 8005 DON JESUS BLVD., OMNI ARCADE ALABANG HILLS CUPANG, MUNTINLUPA CITY",PH - Philippines,024041209,.,SPARTILOGISTICSCORPORATION@GMAIL.COM,.,VAZYME,,Hong Kong,1200.0,1287.1,USD,32.5,Kg.,32.5,Kg.,0.0,," """"VAZYME"""" MEDICAL 2019-Novel Coronavirus  2019-nCoV  Triplex RT-qPCR Detection Kit  CD302-02 ",1,PACKAGE,DAP,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,716,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
1031,2021-11-17 03:00:00,38220030000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Sterilisation indicator strips and tapes",NIHON GARTER PHILIPPINES INC,"LOT 12 BLK 8 MAIN AVENUE CAVITE ECONOMIC ZONE, ROSARIO, CAVITE",PH - Philippines,0464372315,.,E_ESPESO@GARTER-PH.NET,.,YAC GARTER CO LTD,,Japan,1892.5,1892.5,USD,45.0,Kg.,48.0,Kg.,0.0,,COVER TAPE,0,PACKAGE,FOB,,,,MANILA INTERNATIONAL CONTAINER TERMINAL,,,,0,,,,,,,,,,,1031,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
1114,2021-11-16 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,,South Korea,280000.0,307300.0,USD,1512.0,Kg.,1562.0,Kg.,0.0,,AF41FK11CFE PANBIO COVID 19 AG RAPID T DEVICE 25T NS 41FK11 2800 EA,8,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,1114,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
1128,2021-11-16 03:00:00,38220010000,"Miscellaneous chemical products Composite diagnostic or laboratory reagents, nes Diagnostic or lab.reagents on a backing, prepared diagnostic or lab.reagents excl. Ch 30 - Plates,sheets,film,foil and strip of plastics impregnated or coated with diagnostic or",SUNFU SOLUTIONS INC.,"UNIT 615 CITY AND LAND MEGAPLAZA ADB AVE  ORTIGAS CENTER SAN ANTONIO, PASIG CITY",PH - Philippines,026877194,.,INFO@SUNFUSOLUTIONS.NET,.,ABBOTT DIAGNOSTICS KOREA INC.,,South Korea,120000.0,131700.0,USD,635.0,Kg.,663.0,Kg.,0.0,,AF41FK10CFC COVID 19 AG D 25T NP NCF V2 41FK10 1200 EA,4,,CPT,,,,NINOY AQUINO INTERNATIONAL AIRPORT,,,,0,,,,,,,,,,,1128,Trade Atlas - 01-03-2022 - File ID 4526923411.xlsx
