NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,source_data_row,source_file_name
1,CHROMACHEMIE LABORATORY PRIVATE LIMITED,"Nagesh Buıldıng, Room No. 1 & 2, 1St Floor, No.163, 1St Maın Road Sheshadrıpuram , ",Bangalore,.,.,.,.,1,INDIA ALL 2021 HS 382200 JANUARY.xlsx
2,LGC PROMOCHEM INDIA PVT LTD,"No.142, 3Rd Floor,5Th Cross, R.M.V.Extensıon, , 560080",Bangalore,.,.,.,.,2,INDIA ALL 2021 HS 382200 JANUARY.xlsx
3,SIEMENS HEALTHCARE PRIVATE LIMITED,"130, Pandurang Budhkar Marg,,Mumba I, , Pin-400018","Maharashtra,Maharashtra",918422975557,.,"smita.ambre@siemens.com, naik.sachin@siemens.com",www.siemens.com,3,INDIA ALL 2021 HS 382200 JANUARY.xlsx
4,"INVITROGEN BIOSERVICES INDIA P.LTD,","GROUND FLOOR,CITIUS,FIRST TECHNOLOGY PLACE,NO.3,EXPORT PROMOTION INDUS","TRIAL PARK,WHITEFIELD,BANGALORE",.,.,.,.,4,INDIA ALL 2021 HS 382200 JANUARY.xlsx
5,ABBOTT HEALTH CARE PRIVATE LIMITED,"Unit Nos.3&4,Corporate Park,, Sion-Trombay Road,Chembur,, 400071",Mumbai.Maharashtra,5978888,5978846,.,.,5,INDIA ALL 2021 HS 382200 JANUARY.xlsx
6,ROCHE DIAGNOSTICS INDIA PVT.LTD.,"PLOT NO. 114 ROADX NO.15, MIDCANDHERI (EAST)",MUMBAI,.,.,.,.,6,INDIA ALL 2021 HS 382200 JANUARY.xlsx
7,MINDRAY MEDICAL INDIA PRIVATE LIMITED,"B-404, City Point, Andheri Kurla, Road, Andheri (E),, 400059","Mumbai, Maharashtra",02240200000/02240200,.,vareesh.saxena@mindray.com,.,7,INDIA ALL 2021 HS 382200 JANUARY.xlsx
8,SIGMA ALDRICH CHEMICALS P LTD,"PLOT.NO.12,BOMMASANDRA-JIGANI LINKROAD,INDL.AREA,ANEKAL TQ,",IN - Bangalore,91 80 6621 9600,91 80 6621 9550,.,www.sigmaaldrich.com,8,INDIA ALL 2021 HS 382200 JANUARY.xlsx
9,B.M. SCIENTIFIC,"A/101, Parshva Darshan Chs Ltd.  Om Nagar, K T Vıhar, Ambadı Road, , 400072","Vasaı Road-West,Thane, Dıst.Thane",.,.,.,.,9,INDIA ALL 2021 HS 382200 JANUARY.xlsx
10,"AVECON HEALTHCARE PVT.LTD.,","Kasaulı Road, Sector -2, , ",Parwanoo.(Hp).,.,.,.,.,10,INDIA ALL 2021 HS 382200 JANUARY.xlsx
