NO,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB
1,CHROMACHEMIE LABORATORY PRIVATE LIMITED,"Nagesh Buıldıng, Room No. 1 & 2, 1St Floor, No.163, 1St Maın Road Sheshadrıpuram , ",Bangalore,.,.,.,.
2,LGC PROMOCHEM INDIA PVT LTD,"No.142, 3Rd Floor,5Th Cross, R.M.V.Extensıon, , 560080",Bangalore,.,.,.,.
3,SIEMENS HEALTHCARE PRIVATE LIMITED,"130, Pandurang Budhkar Marg,,Mumba I, , Pin-400018","Maharashtra,Maharashtra",918422975557,.,"smita.ambre@siemens.com, naik.sachin@siemens.com",www.siemens.com
4,"INVITROGEN BIOSERVICES INDIA P.LTD,","GROUND FLOOR,CITIUS,FIRST TECHNOLOGY PLACE,NO.3,EXPORT PROMOTION INDUS","TRIAL PARK,WHITEFIELD,BANGALORE",.,.,.,.
5,ABBOTT HEALTH CARE PRIVATE LIMITED,"Unit Nos.3&4,Corporate Park,, Sion-Trombay Road,Chembur,, 400071",Mumbai.Maharashtra,5978888,5978846,.,.
6,ROCHE DIAGNOSTICS INDIA PVT.LTD.,"PLOT NO. 114 ROADX NO.15, MIDCANDHERI (EAST)",MUMBAI,.,.,.,.
7,MINDRAY MEDICAL INDIA PRIVATE LIMITED,"B-404, City Point, Andheri Kurla, Road, Andheri (E),, 400059","Mumbai, Maharashtra",02240200000/02240200,.,vareesh.saxena@mindray.com,.
8,SIGMA ALDRICH CHEMICALS P LTD,"PLOT.NO.12,BOMMASANDRA-JIGANI LINKROAD,INDL.AREA,ANEKAL TQ,",IN - Bangalore,91 80 6621 9600,91 80 6621 9550,.,www.sigmaaldrich.com
9,B.M. SCIENTIFIC,"A/101, Parshva Darshan Chs Ltd.  Om Nagar, K T Vıhar, Ambadı Road, , 400072","Vasaı Road-West,Thane, Dıst.Thane",.,.,.,.
10,"AVECON HEALTHCARE PVT.LTD.,","Kasaulı Road, Sector -2, , ",Parwanoo.(Hp).,.,.,.,.
11,DHL LOGISTICS PVT. LTD,"8Th Floor,Leela Galleria,Andheri, Kurla Road,Andheri (E),, 400059","Mumbai,Maharashtra",+91 22 67370700,.,rodney.pereira@dhl.com,.
12,QIAGEN INDIA PRIVATE LIMITED,"Samyak Towers,39 Pusa Road,  Karol Bagh , 110005",New Delhi,.,.,.,.
13,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unıt No. 403, 4Th Floor, Leela  Busıness Park, Andherı Kurla Rd., , ","Andherı-East, Mumbaı, Maharashtra",.,.,.,.
14,PROMEGA BIOTECH INDIA PRIVATE LIMITED,"VASAIKAR HOUSE, 296, CADELL ROAD, DADAR WEST, ,",MUMBAI,.,.,.,.
15,SYNGENE INTERNATIONAL LIMITED,"20Th Km, Hosur Road,Electronıc Cıty P.O. , 560100",Bangalore,.,.,.,.
