NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS,source_data_row,source_file_name
6039,2021-01-25 03:00:00,38220019,Other,HEMOGENOMICS PVT LTD,"Kemwell Houseno.11, Tumkur Road, Yeshwanthpur",IN - Bangalore / Karnataka,3376724/5/6 \  3379152,.,.,.,M/S. HOLOGIC ASIA PACIFIC LIMITED,,United Kingdom,0.0,189850.0,USD,0.0,,0.0,,40.0,SET,"(DIAGNOSTIC KIT)PRD-06419-SARS-COV-2 ASSAY, APTIMA 250- TEST EUA CE IVD (PERISHABLE CARGO)",0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,6039,INDIA ALL 2021 HS 382200 JANUARY.xlsx
6365,2021-01-25 03:00:00,38220019,Other,CEPHEID INDIA PRIVATE LIMITED,"573, 3Rd Floor, Main Road, Chiragh Delhi, 201301",IN - India,.,.,deepak.sood@cepheid.com,www.cepheid.com,CEPHEID US,,Sweden,0.0,160285.0,USD,0.0,,0.0,,1506.0,NOS,DIAGNOSTICS REAGENTS- XPRSARS COV-2 10 TEST KIT( URGENT MEDICAL SUPPLIES),0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,6365,INDIA ALL 2021 HS 382200 JANUARY.xlsx
6377,2021-01-25 03:00:00,38220090,Other,PREMAS LIFE SCIENCES PRIVATE LIMITED,"Plot No.153, Okhla Industrial Area, Phase-Iii New Delhi, Na",IN - India,.,.,pawangupta007@ymail.com,.,GENSCRIPT USA INC. CUSTOMER SERVICE,"860 CENTENNIAL AVE. PISCATAWAY , NJ 08854 USA 0 US",China,0.0,34650.0,USD,0.0,,0.0,,50.0,NOS,LABORATORY REAGENT SARS-COV-2 SURROGATE VIRUS NEUTRALIZATIONTEST KIT (LAB REAGENT FOR RESEARCH USE),0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,6377,INDIA ALL 2021 HS 382200 JANUARY.xlsx
13,2021-01-24 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,ORTHO-CLINICAL DIAGNOSTICS FRANCE.,,United Kingdom,0.0,45801.0,INR,0.0,,0.0,,1.24,KGS,ANTI-SARS-COV-2 TOTAL CONTROL (NONUS)(DIAGNOSTIC KITS) (10 EA)DUTY PAID UNDER PROTEST VIDE FILE NO.S,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,6615,INDIA ALL 2021 HS 382200 JANUARY.xlsx
21,2021-01-24 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,ORTHO-CLINICAL DIAGNOSTICS FRANCE.,,United Kingdom,0.0,40250.0,INR,0.0,,0.0,,3.74,KGS,ANTI-SARS-COV-2 TOTAL CALIBRATOR (NONUS)(DIAGNOSTIC KITS) (25 EA)DUTY PAID UNDER PROTEST VIDE FILE N,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,6623,INDIA ALL 2021 HS 382200 JANUARY.xlsx
24,2021-01-24 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,ORTHO-CLINICAL DIAGNOSTICS FRANCE.,,United Kingdom,0.0,136850.0,INR,0.0,,0.0,,11.99,KGS,ANTI-SARS-COV-2 IGG CALIBRATOR (NONUS)(DIAGNOSTIC KITS) (85EA)DUTY PAID UNDER PROTEST VIDE FILE NO.S,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,6626,INDIA ALL 2021 HS 382200 JANUARY.xlsx
31,2021-01-24 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,ORTHO-CLINICAL DIAGNOSTICS FRANCE.,,United Kingdom,0.0,126000.0,INR,0.0,,0.0,,3.71,KGS,ANTI-SARS-COV-2 IGG CONTROL (NONUS)(DIAGNOSTIC KITS) (30 EA)DUTY PAID UNDER PROTEST VIDE FILE NO.S/3,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,6633,INDIA ALL 2021 HS 382200 JANUARY.xlsx
39,2021-01-24 03:00:00,38220019,Other,"ORTHO CLINICAL DIAGNOSTICS INDIA PVT.LTD.,","Unit No. 403, 4Th Floor, Leela, Business Park, Andheri Kurla Rd., 400059","IN - Andheri-East, Mumbai, Maharashtra",09821093859,.,sganus2its@jnj.com,www.orthoclinical.com,ORTHO-CLINICAL DIAGNOSTICS FRANCE.,,United Kingdom,0.0,32200.0,INR,0.0,,0.0,,2.82,KGS,ANTI-SARS-COV-2 TOTAL CALIBRATOR (NONUS)(DIAGNOSTIC KITS) (20 EA)DUTY PAID UNDER PROTEST VIDE FILE N,0,,,,,,SAHAR AIR CARGO ACC (INBOM4),,,,0,,,,,,,,,,,6641,INDIA ALL 2021 HS 382200 JANUARY.xlsx
986,2021-01-22 03:00:00,38220090,Other,VANANT OILFIELD PRIVATE LIMITED,.,IN - India,.,.,.,.,"CELLSAFE CO., LTD.",,South Korea,0.0,2.0,USD,0.0,,0.0,,2.0,NOS,LAMPLEX TM RT-QLAMP COVID 19 DETECTION ASSAY ( 100 TEST/100( VALIDATION SAMPLE FOR R & D PURPOSE ),0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,7588,INDIA ALL 2021 HS 382200 JANUARY.xlsx
1708,2021-01-21 03:00:00,38220019,Other,CEPHEID INDIA PRIVATE LIMITED,"573, 3Rd Floor, Main Road, Chiragh Delhi, 201301",IN - India,.,.,deepak.sood@cepheid.com,www.cepheid.com,CEPHEID US,,Sweden,0.0,171779.0,USD,0.0,,0.0,,1614.0,NOS,DIAGNOSTICS REAGENTS- XPRSARS COV-2 10 TEST KIT (URGENT MEDICAL SUPPLYES),0,,,,,,DELHI AIR CARGO ACC (INDEL4),,,,0,,,,,,,,,,,8310,INDIA ALL 2021 HS 382200 JANUARY.xlsx
