,index,paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name,Top P Match Ratio,Top P Match UIDs,Matching P Tags,Top M Match Ratio,Top M Match UIDs,Matching M Tags
0,45,46,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,181516.8,0.0,USD,0.0,,0.0,,2608.0,KG,COVID19 AG RAPID T DEVICE 25T NP 41FK10,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,46,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,160 | 549 | 1122 | 156 | 1173 | 152,"ag | ag,rapid | ag,rapid | ag,rapid | rapid | ag",0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
1,65,66,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,QIAGEN GMBH,,Germany,30761.12,0.0,USD,0.0,,0.0,,28.57,KG,ARTUS SARSCOV2 PREPAMP UM KIT 768      QTY 5 PCS,0.0,,,,,,KPAF,,ARSHAD SUAULEH CORP,,0.0,,,,,,,,,,,66,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,270,5,0.0,,
2,78,79,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,116858.4,0.0,USD,0.0,,0.0,,80.0,KG,9N7890ALNTY M SARSCOV2 AMP 192T KIT 80 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,79,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,"32,33 | 947",amp | amp,0.3333333333333333,"1007 | 913 | 973 | 474,475 | 809 | 972 | 811",systems | systems | systems | systems | systems | systems | systems
3,81,82,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,139200.0,0.0,USD,0.0,,0.0,,2000.0,KG,COVID19 AG RAPID T DEVICE 25T NP 41FK10,0.0,,,,,,KPFI,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,82,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,160 | 549 | 1122 | 156 | 1173 | 152,"ag | ag,rapid | ag,rapid | ag,rapid | rapid | ag",0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
4,89,90,29-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,54575.64,0.0,USD,0.0,,0.0,,150.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V2 100RXNBOX QTY 150 KITS,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,90,Pakistan Trade Atlas All 2021 HS 382200.csv,0.75,1326 | 1327 | 461,"coronavirus,detection,novel | coronavirus,detection,novel | coronavirus,detection,novel",0.5,"31 | 977 | 715 | 716 | 91 | 920 | 217 | 139 | 997 | 263 | 611 | 140 | 370 | 539 | 228 | 411 | 969 | 647 | 132,133 | 131 | 643 | 252 | 256 | 185 | 699 | 901",diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics | diagnostics
5,97,98,29-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBAL CLINICAL CURA,.,PK - Pakistan,.,.,.,.,JIANGSU BIOPERFECTUS TECHNOLOGIES,,China,80000.0,0.0,USD,0.0,,0.0,,303.0,KG,01....COVID 19 CORONAVIRUS REAL TIME PCR KIT LOT NO.20211114 02078 EXP DATE 21112022 BIO PERFECTUS BRAND ORIGIN GERMANY QTY100000 KITS50 TESTS PER KIT...WEIGHT 303 KGS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,98,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"211 | 1095 | 193,194 | 923 | 651 | 1057","time,real | time,real | coronavirus,time,real | time,real | pcr,time,real | pcr,time,real",0.3333333333333333,742 | 743,clinical | clinical
6,245,246,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,XIAMEN ZEESAN BIOTECH CO LTD,,China,19133.0,0.0,USD,0.0,,0.0,,400.0,KG,DIAGNOSTIC REAGENTS          LABAID VIRUS RNA EXTRACTION KIT LABAID 824s       FOR COVID19 TESTING CE.            QTY 300 PCS,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,246,Pakistan Trade Atlas All 2021 HS 382200.csv,0.6666666666666666,653,"virus,diagnostic",0.0,,
7,250,251,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",CHOHAN & COMPANY.,21 Bahadurabad Block 03 Karachi,PK - Pakistan,.,.,.,.,"HANGZHOU ALLTEST BIOTECH CO.,LTD",,China,15086.0,0.0,USD,0.0,,0.0,,38.0,KG,"1 COVID 19 ANTIGEN RAPID TEST, ORIGIN FRANCE, APPROX NET WT 947 KGS,",0.0,,,,,,KAPE,,,,0.0,,,,,,,,,,,251,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"44 | 187 | 171 | 209 | 550 | 1173 | 618 | 648 | 1245 | 613 | 1243 | 643 | 644,645,646 | 1074 | 185","antigen | antigen | antigen,rapid | antigen,rapid | antigen,rapid | rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid | antigen,rapid",0.0,,
8,270,271,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,BOLLORE LOGISTICS USA INC,,United States,87026.1,0.0,USD,0.0,,0.0,,210.0,KG,DIAGNOSTIC TEST KITID NOW COVID19 24T OUS,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,271,Pakistan Trade Atlas All 2021 HS 382200.csv,0.5,330 | 1338,now | diagnostic,0.5,"17,18 | 32,33 | 947 | 916 | 975 | 21 | 839 | 948 | 76 | 989 | 335 | 342",abbott | abbott | abbott | abbott | abbott | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories | laboratories
9,467,468,27-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ROCHE PAKISTAN LTD.,"37-C, Block 6, P.E.C.H.S P.O. Box 20021",Karachi,+92 2134540731,+92 2134549563,.,www.roche.com.pk,ROCHE DIAGNOSTICS GMBH,,United States,990.45,0.0,USD,0.0,,0.0,,5.0,KG,KIT COBAS LIAT SARSCOV2 CTL QTY 5 PCS BATCH NO H25442 MFG DT 13.9.21 EXP DT 28.2.22,0.0,,,,,,KPAF,,M/S. LINKS LOGISTICS,,0.0,,,,,,,,,,,468,Pakistan Trade Atlas All 2021 HS 382200.csv,1.0,"132,133 | 131",cobas | cobas,0.5,"647 | 132,133 | 131 | 643 | 252 | 256",roche | roche | roche | roche | roche | roche
