paproduct detailno,arrival date,hs code,hs code description,importer name,importer address,city state,tel,fax,e-mail,web,exporter name,exporter address,country of origin,import value fob,import value cif,currency,net weight,net weight unit,gross weight,gross weight unit,quantity,quantity unit,product details,number of packages,packages unit,incoterms,place of delivery,brand name,manufactoring company,port of arrival,port of departure,notify party,notify address,volume,volume unit,preport,shipper country,us state,us port2,final us port,final foreign port,final country,container count,total teus,source_data_row,source_file_name
3,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,2482.2,0.0,USD,0.0,,0.0,,12.0,KG,TEST KITS FOR HEPATITISHIVCORONA9N1201ALINITY M SAMPLE PREP KIT2 12 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,1,Pakistan Trade Atlas All 2021 HS 382200.csv
16,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,1624.05,0.0,USD,0.0,,0.0,,3.0,KG,TEST KITS FOR CANCERHIVHCVCORONA RT CMV AMP KIT 3 KITFOC,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,2,Pakistan Trade Atlas All 2021 HS 382200.csv
34,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,28879.8,0.0,USD,0.0,,0.0,,370.0,KG,TEST KITS FOR HEPATITESHIVCORONA3L7860 RT PCR RNADNA PERP KIT 45 KITS COMBINED WITH CONSUMBLES 3N16011NO4J71751NO9N20037NO9N20044NO9N26019NO9N26191NOFOC9N26104,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,3,Pakistan Trade Atlas All 2021 HS 382200.csv
46,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,181516.8,0.0,USD,0.0,,0.0,,2608.0,KG,COVID19 AG RAPID T DEVICE 25T NP 41FK10,0.0,,,,,,KPAF,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,4,Pakistan Trade Atlas All 2021 HS 382200.csv
66,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,QIAGEN GMBH,,Germany,30761.12,0.0,USD,0.0,,0.0,,28.57,KG,ARTUS SARSCOV2 PREPAMP UM KIT 768      QTY 5 PCS,0.0,,,,,,KPAF,,ARSHAD SUAULEH CORP,,0.0,,,,,,,,,,,5,Pakistan Trade Atlas All 2021 HS 382200.csv
79,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",HOSPICARE SYSTEMS,"Block No. 3, Plot No.3 Ground Floor Rabbiya Garden, M.C.H.S. Shaheed-E-Millat Road Karac",PK - Pakistan,.,.,.,.,ABBOTT GMBH CO KG,,United States,116858.4,0.0,USD,0.0,,0.0,,80.0,KG,9N7890ALNTY M SARSCOV2 AMP 192T KIT 80 KIT,0.0,,,,,,KPFI,,,,0.0,,,,,,,,,,,6,Pakistan Trade Atlas All 2021 HS 382200.csv
82,30-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",ABBOTT LABORATORIES (PAKISTAN) LTD.,"Opposite Radio Pakistan Transmission,Hyderabad Road, Landhi,",Karachi,.,+92 2135046574,.,www.abbott.com.pk,ABBOTT DIAGNOSTICS KOREA INC,,South Korea,139200.0,0.0,USD,0.0,,0.0,,2000.0,KG,COVID19 AG RAPID T DEVICE 25T NP 41FK10,0.0,,,,,,KPFI,,MAHEM ENTERPRISES.,,0.0,,,,,,,,,,,7,Pakistan Trade Atlas All 2021 HS 382200.csv
90,29-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",EURONANO DIAGNOSTICS (PVT) LTD.,Plot 225 1 F Block 2 Pechs,PK - Pakistan,.,.,.,.,,,Turkey,54575.64,0.0,USD,0.0,,0.0,,150.0,KG,BOSPHORE NOVEL CORONAVIRUS 2019NCOV DETECTION KIT V2 100RXNBOX QTY 150 KITS,0.0,,,,,,KPAF,,PRMIER SERVICES INTERNATIONAL,,0.0,,,,,,,,,,,8,Pakistan Trade Atlas All 2021 HS 382200.csv
98,29-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",GLOBAL CLINICAL CURA,.,PK - Pakistan,.,.,.,.,JIANGSU BIOPERFECTUS TECHNOLOGIES,,China,80000.0,0.0,USD,0.0,,0.0,,303.0,KG,01....COVID 19 CORONAVIRUS REAL TIME PCR KIT LOT NO.20211114 02078 EXP DATE 21112022 BIO PERFECTUS BRAND ORIGIN GERMANY QTY100000 KITS50 TESTS PER KIT...WEIGHT 303 KGS,0.0,,,,,,IPAF,,,,0.0,,,,,,,,,,,9,Pakistan Trade Atlas All 2021 HS 382200.csv
246,28-12-2021,38220000,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading 30.02 or 30.06, certified reference materials.",BRIOGENE (PVT) LTD.,Karachi Pakistan,PK - Pakistan,.,.,.,.,XIAMEN ZEESAN BIOTECH CO LTD,,China,19133.0,0.0,USD,0.0,,0.0,,400.0,KG,DIAGNOSTIC REAGENTS          LABAID VIRUS RNA EXTRACTION KIT LABAID 824s       FOR COVID19 TESTING CE.            QTY 300 PCS,0.0,,,,,,KPAF,,,,0.0,,,,,,,,,,,10,Pakistan Trade Atlas All 2021 HS 382200.csv
