level_0,index,NO,ARRIVAL DATE,HS CODE,HS CODE DESCRIPTION,IMPORTER NAME,IMPORTER ADDRESS,CITY STATE,TEL,FAX,E-MAIL,WEB,EXPORTER NAME,EXPORTER ADDRESS,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,NET WEIGHT,NET WEIGHT UNIT,GROSS WEIGHT,GROSS WEIGHT UNIT,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS,NUMBER OF PACKAGES,PACKAGES UNIT,INCOTERMS,PLACE OF DELIVERY,BRAND NAME,MANUFACTORING COMPANY,PORT OF ARRIVAL,PORT OF DEPARTURE,NOTIFY PARTY,NOTIFY ADDRESS,VOLUME,VOLUME UNIT,PREPORT,SHIPPER COUNTRY,US STATE,US PORT2,FINAL US PORT,FINAL FOREIGN PORT,FINAL COUNTRY,CONTAINER COUNT,TOTAL TEUS,SOURCE_DATA_ROW,SOURCE_FILE_NAME,T,TES,TEST,BOX,CASSETTES,RXN,RNX,REACTION,KIT,PCS,PCE,STRIP,PDC,PDC_SPLIT,words,refined_words,REQUIRES_MANUAL_VERIFICATION,test_quantity,test_quantity_final,Auto_Data_Quality_index,Test_Type,Date,USD,IDR,JPY,CNY,AUD,GBP,EUR,SGD,VND,IMPORT_VALUE_CIF_USD,VOLUME1_PCE,VOLUME2_BOX,PER_PCE_GROSS_WEIGHT,PER_BOX_GROSS_WEIGHT,PER_PCE_NET_WEIGHT,PER_BOX_NET_WEIGHT,PER_PCE_UNIT_PRICE,PER_BOX_UNIT_PRICE,NEW_QUANTITY_UNIT,EQUAL_VOLUMES,PCE_NET_WEIGHT_CHECK,PCE_GROSS_WEIGHT_CHECK,BOX_NET_WEIGHT_CHECK,BOX_GROSS_WEIGHT_CHECK,PCE_PRICE_CHECK,BOX_PRICE_CHECK,DQI,QUANTITY_UNIT_FINAL,PCE_COUNT_IGNORE,BOX_COUNT_IGNORE,PDC_NEW_DF,MERGE_KEY,Count Data,Source: GF,Source: Path,Type of Test,Unique Identifier,Merged Unique ID,Manufacturer Product Catalogue number,"Product Name
(IVD product)",Product name- Special characters removed,product_keywords,Reference detail,Manufacturer,manufacturer_keywords,Manufacturer HQ location- PATH,Manufactuer location- ADP ,Consolidated HQ Manufacturer Location [Info from Column I and J] (PATH Manufactuer HQ & ADP Manufacturer HQ),Phase ,Total SRA Criteria Eligibility ,Comments ,CE-IVD ,US FDA EUA (US Food and Drug Administration Emergency Use Authorization) ,Health Canada/Interim Order,WHO EUL (Emergency Use Listing),PMDA (Pharmaceuticals and medical devices agency),TGA (Therapeutic Goods Administration),IFU Link,IFU Link , IFU link Combined sources [Info from Column P&Q] (IFU links from ADP COVID-19 DPR & PATH),"Global Fund-Reference price per pack EXW, USD",ADP- Indicative purchase pricing (per test),"Global Fund- Reference price per test EXW, USD",Consolidated price per test (Global Fund- Reference price per test + ADP- Indicative purchase pricing (per test),Pakistan Merged ID,India Merged ID,Indonesia Merged ID,South Africa Merged ID,Philippines Merged ID,SRA Approval,PDC_NEW_MRL,product_match,MATCH_PERCENT,MRL_CHECK,DQI_FINAL,UNIQUE_ID_PULL,UNIT_PRICE_MATCH,REFERENCE_DETAIL_CLEAN,REFERENCE_DETAIL_MATCH
0,0,19,2021-02-13 03:00:00,38220090,Lain-lain,PT. INTERSKALA MEDIKA INDONESIA,"GREEN SEDAYU BIZ PARK BLOK DM 9/62, JALAN DAAN MOGOT KM.18, KEL. KALID",ID - Indonesia,.,.,.,.,"ANHUI DEEPBLUE MEDICAL TECHNOLOGY CO.,LT",ADD:1#. D ZONE FOUR FLOOR. PEARL  INDUSTRIAL PARK,China,0.0,492812.0,USD,3623.0,Kg.,3926.0,Kg.,250000.0,PCE,DEEPBLUE COVID-19 (SARS-COV-2) ANTIGEN TEST KIT (COLLOIDAL GOLD),200,CT,0,0,0,0,SOEKARNO-HATTA (U),SHANGHAI,CI502,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DEEPBLUE SARS ANTIGEN TEST KIT COLLOIDAL GOLD,"['DEEPBLUE', 'SARS', 'ANTIGEN', 'TEST', 'KIT', 'COLLOIDAL', 'GOLD']",[],[],,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-13,1.0,7.15e-05,0.0095226,0.1548203,0.7728573,1.3796909,1.2108003,0.7536363,4.35e-05,492812.0,250000.0,250000.0,0.015704,0.015704,0.014492,0.014492,1.971248,1.971248,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,PCE,3,0,DEEPBLUE COVID19 SARSCOV2 ANTIGEN TEST KIT COLLOIDAL GOLD,0,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,0.0,0,75,,,,0
4,4,104,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT MITRASAMAYA SEJATI,"RUKAN KENCAN NIAGA BLOK D1 NO.2J ,MERUYA UTARA ,KEMBANGAN,JAKARTA BARA",ID - Indonesia,.,.,.,.,INTEC PRODUCTS INC.(XIAMEN),"332 XINGUANG ROAD,,XINYANG INDUSTRIAL AREA,HAICANG",China,0.0,2894.2,USD,35.16,Kg.,1338.0,Kg.,30.0,KT,RAPID SARS-COV-2 ANTIBODY (IGM/IGG) TEST,0,CT,0,0,0,0,SOEKARNO-HATTA (U),SHENZHEN PT,CHINA EASTERN AIR,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAPID SARS ANTIBODY IGMIGG TEST,"['RAPID', 'SARS', 'ANTIBODY', 'IGMIGG', 'TEST']",[],[],1,[],1.0,Keyword found but no value,SARS-CoV-2 Antibody Rapid Diagnostic Tests,2021-02-11,1.0,7.16e-05,0.0095555,0.1548419,0.7767594,1.3842746,1.2147716,0.7554011,4.35e-05,2894.2,30.0,30.0,44.6,44.6,1.172,1.172,96.47333333333333,96.47333333333333,[],1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,RAPID SARSCOV2 ANTIBODY IGMIGG TEST,1,18.0,,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,879.0,879,,SMART Diagnostic SARS-CoV-2 Antibody IgM/IgG Rapid Test,,smart diagnostic antibody igmigg rapid,nan,PT. INDONESIA FARMA,pt indonesia farma,,,,,,,,False,False,False,False,False,,,,,,,,,,IDN0156,,,,RAPID SARSCOV2 ANTIBODY IGMIGG TEST,SMART DIAGNOSTIC SARSCOV2 ANTIBODY IGMIGG RAPID TEST,0.7586206896551724,1,25,879.0,,,0
6,6,166,2021-02-11 03:00:00,38220090,Lain-lain,CHANGSHIN REKSA JAYA,"JL. RAYA LELES, KP. KARANGMEKAR, RT.02/RW.08. DESA CIBURIAL, KEC. LELES, KAB. GARUT, JAWA BARAT",ID - Indonesia,.,.,.,.,BUKYUNG MEDITECH CORPORATION,22 SASANG RO 394BEONGIL SASANG GU BUSAN INCHEON KOREAN REPUBLIC KOREA,South Korea,0.0,750.0,USD,9.5,Kg.,10.8,Kg.,500.0,PCE,GENBODY COVID-19 AG CAT NO. COVAG025,1,PK,0,0,0,0,SOEKARNO-HATTA (U),INCHEON,TH,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Indonesia 2021-version-13.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GENBODY AG CAT NO COVAG025,"['GENBODY', 'AG', 'CAT', 'NO', 'COVAG025']",['COVAG025'],[],,[],1.0,No Keyword present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-11,1.0,7.16e-05,0.0095555,0.1548419,0.7767594,1.3842746,1.2147716,0.7554011,4.35e-05,750.0,500.0,500.0,0.0216,0.0216,0.019,0.019,1.5,1.5,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,PCE,3,0,GENBODY COVID19 AG CAT NO COVAG025,2,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,0.0,0,75,,,,0
7,7,187,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BINTANG CEMERLANG,ITC CEMPAKA MAS GROSIR LT.4 BLOK K NO.898 JL. LETJEN SUPRAPTO,ID - Indonesia,.,.,.,.,"XIAMEN JIQING BIOMEDICAL TECHNOLOGY CO.,","LTD. ADDRESS : UNIT 03, LEVEL 3, BUILDING 2,",China,0.0,5520.0,USD,104.0,Kg.,104.0,Kg.,4800.0,PCE,NOVEL CORONAVIRUS COVID-19 ANTIGEN TEST KIT (COLLOIDAL GOLD METHOD),10,PK,0,0,0,0,SOEKARNO-HATTA (U),SHENZHEN,CK,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOVEL CORONAVIRUS ANTIGEN TEST KIT COLLOIDAL GOLD METHOD,"['NOVEL', 'CORONAVIRUS', 'ANTIGEN', 'TEST', 'KIT', 'COLLOIDAL', 'GOLD', 'METHOD']",[],[],,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-11,1.0,7.16e-05,0.0095555,0.1548419,0.7767594,1.3842746,1.2147716,0.7554011,4.35e-05,5520.0,4800.0,4800.0,0.021666666666666667,0.021666666666666667,0.021666666666666667,0.021666666666666667,1.15,1.15,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,4.0,PCE,3,0,NOVEL CORONAVIRUS COVID19 ANTIGEN TEST KIT COLLOIDAL GOLD METHOD,3,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1096.0,1096,,(2019-nCov) New Coronavirus Antigen Test (Colloidal Gold),2019nCovNewCoronavirusAntigenTestColloidalGold,2019 new coronavirus antigen  colloidal gold,nan,"Nantong Diagnos Biotechnology Co Ltd – 2nd Floor, building 6 Electronic Information Industrial Park, No. 2 Haiyang South Road, Chengnan Street, 226500 Rugao City, Jiangsu Province, People’s Republic of China",nantong diagnos biotechnology 2nd floor building 6 electronic information industrial park no 2 haiyang south road chengnan street 226500 rugao city jiangsu prove peoples republic of china,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0091,,NOVEL CORONAVIRUS COVID19 ANTIGEN TEST KIT COLLOIDAL GOLD METHOD,2019NCOV NEW CORONAVIRUS ANTIGEN TEST COLLOIDAL GOLD,0.7586206896551724,1,100,1096.0,,,0
8,8,210,2021-02-11 03:00:00,38220020,"Kertas karton, gumpalan selulosa dan jaringan dari serat selulosa diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. PRATAMINDO MITRA RIZKY,"PERUM BOGORAMI INDAH REGENCY, JL. BULAK SETRO INDAH II BLOK B NO.51-52",ID - Indonesia,.,.,.,.,BIOSCIENCE (TIANJIN) DIAGNOSTIC TECH.,"NO.14, INTERNATIONAL MEDICAL DEVICE PARK, DONGLI",China,0.0,200000.0,USD,1890.5,Kg.,2064.0,Kg.,156600.0,PCE,NOVEL CORONAVIRUS (2019-NCOV) ANTIGEN RAPID TEST,95,CT,0,0,0,0,SOEKARNO-HATTA (U),BEIJING,BR,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOVEL CORONAVIRUS 2019NCOV ANTIGEN RAPID TEST,"['NOVEL', 'CORONAVIRUS', '2019NCOV', 'ANTIGEN', 'RAPID', 'TEST']",['2019NCOV'],[],,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-11,1.0,7.16e-05,0.0095555,0.1548419,0.7767594,1.3842746,1.2147716,0.7554011,4.35e-05,200000.0,156600.0,156600.0,0.01318007662835249,0.01318007662835249,0.012072158365261813,0.012072158365261813,1.277139208173691,1.277139208173691,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,4.0,PCE,3,0,NOVEL CORONAVIRUS 2019NCOV ANTIGEN RAPID TEST,4,22.0,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,97.0,97,,Bioscience (Tianjin) Novel Coronavirus (2019-nCoV) Antigen Rapid Test,,bioscience tianjin novel coronavirus 2019 antigen rapid,nan,"Bioscience (Tianjin) Diagnostic Technology Co., Ltd.",bioscience tianjin diagnostic technology,China,,China,Test in development or commercialized,,,,False,False,False,False,False,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,IDN0065,ZAF0222,,,NOVEL CORONAVIRUS 2019NCOV ANTIGEN RAPID TEST,BIOSCIENCE TIANJIN NOVEL CORONAVIRUS 2019NCOV ANTIGEN RAPID TEST,0.8256880733944955,1,100,97.0,,,0
12,12,383,2021-02-11 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BINTANG CEMERLANG,ITC CEMPAKA MAS GROSIR LT.4 BLOK K NO.898 JL. LETJEN SUPRAPTO,ID - Indonesia,.,.,.,.,"XIAMEN JIQING BIOMEDICAL TECHNOLOGY CO.,","LTD. ADDRESS : UNIT 03, LEVEL 3, BUILDING 2,",China,0.0,4968.0,USD,93.0,Kg.,93.0,Kg.,4320.0,PCE,NOVEL CORONAVIRUS COVID-19 ANTIGEN TEST KIT (COLLOIDAL GOLD METHOD),9,PK,0,0,0,0,SOEKARNO-HATTA (U),SHENZHEN,CK,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Indonesia 2021-version-13.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOVEL CORONAVIRUS ANTIGEN TEST KIT COLLOIDAL GOLD METHOD,"['NOVEL', 'CORONAVIRUS', 'ANTIGEN', 'TEST', 'KIT', 'COLLOIDAL', 'GOLD', 'METHOD']",[],[],,[],1.0,Keyword found but no value,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-11,1.0,7.16e-05,0.0095555,0.1548419,0.7767594,1.3842746,1.2147716,0.7554011,4.35e-05,4968.0,4320.0,4320.0,0.021527777777777778,0.021527777777777778,0.021527777777777778,0.021527777777777778,1.15,1.15,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,4.0,PCE,3,0,NOVEL CORONAVIRUS COVID19 ANTIGEN TEST KIT COLLOIDAL GOLD METHOD,5,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1096.0,1096,,(2019-nCov) New Coronavirus Antigen Test (Colloidal Gold),2019nCovNewCoronavirusAntigenTestColloidalGold,2019 new coronavirus antigen  colloidal gold,nan,"Nantong Diagnos Biotechnology Co Ltd – 2nd Floor, building 6 Electronic Information Industrial Park, No. 2 Haiyang South Road, Chengnan Street, 226500 Rugao City, Jiangsu Province, People’s Republic of China",nantong diagnos biotechnology 2nd floor building 6 electronic information industrial park no 2 haiyang south road chengnan street 226500 rugao city jiangsu prove peoples republic of china,,,,,,,,False,False,False,False,False,,,,,,,,,,,,PHL0091,,NOVEL CORONAVIRUS COVID19 ANTIGEN TEST KIT COLLOIDAL GOLD METHOD,2019NCOV NEW CORONAVIRUS ANTIGEN TEST COLLOIDAL GOLD,0.7586206896551724,1,100,1096.0,,,0
15,15,503,2021-02-10 03:00:00,38220090,Lain-lain,PT. SETIA ANUGRAH MEDIKA,JALAN MITRA SUNTER BOULEVARD B/39  YOS SUDARSOKAV 89 KEL SUNTER,ID - Indonesia,.,.,.,.,"SHENZEN YHLO BIOTECH CO., LTD",BUILDING 1 YHLO BIOPAK BAOLONG 2ND ROAD BAOLONG,China,0.0,87556.1,USD,1075.0,Kg.,1075.0,Kg.,50000.0,NIU,GLINE-2019-NCOV AG,0,PK,0,0,0,0,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,0,0,0.0,0.0,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Indonesia 2021-version-13.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLINE2019NCOV AG,"['GLINE2019NCOV', 'AG']",['GLINE2019NCOV'],[],,[],1.0,No Keyword present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-10,1.0,7.15e-05,0.0095458,0.1550075,0.7733354,1.3835086,1.2127092,0.7541478,4.35e-05,87556.1,50000.0,50000.0,0.0215,0.0215,0.0215,0.0215,1.751122,1.751122,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,4.0,PCE,3,0,GLINE2019NCOV AG,6,20.0,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,311.0,311,,GLINE-2019-nCoV Ag,,gline 2019 ag,nan,Shenzhen Yhlo Biotech Co. Ltd,shenzhen yhlo biotech,China,,China,Test approved by one or more regulatory bodies,,,,False,False,False,False,False,https://www.fda.gov/media/139279/download,https://www.fda.gov/media/139279/download,,,,,,,,,,,,GLINE2019NCOV AG,GLINE2019NCOV AG,1.0,1,100,311.0,,,0
19,19,537,2021-02-10 03:00:00,38220090,Lain-lain,PT. LANIROS DIAN PHARMA,"GEDUNG SATRIO TOWER LT.22, JL. PROF.DR.SATRIO KAV. C4, KEL.KEC.KOTA AD",ID - Indonesia,.,.,.,.,"ACRO BIOTECH, INC","9500 7TH ST, UNIT M, RANCHO CUCAMONGA, CA 91730",United States,0.0,208619.0,USD,1418.75,Kg.,1563.0,Kg.,100000.0,PCE,"JUSCHEK COVID-19 ANTIGEN RAPID TEST,20T/KIT (NASOPHARYNGEAL SWAB)",0,CT,0,0,0,0,SOEKARNO-HATTA (U),SHANGHAI PU DONG APT,JAPAN AIRLINES,0,0,0.0,0.0,United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Indonesia 2021-version-13.csv,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,JUSCHEK ANTIGEN RAPID TEST20TKIT NASOPHARYNGEAL SWAB,"['JUSCHEK', 'ANTIGEN', 'RAPID', 'TEST20TKIT', 'NASOPHARYNGEAL', 'SWAB']",['TEST20TKIT'],['TEST20TKIT'],,['20'],20.0,Keyword and Value both are present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-10,1.0,7.15e-05,0.0095458,0.1550075,0.7733354,1.3835086,1.2127092,0.7541478,4.35e-05,208619.0,100000.0,2000000.0,0.01563,0.0007815,0.0141875,0.000709375,2.08619,0.1043095,"['PCE', 'PCE', 'PCE']",0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,PCE,3,0,JUSCHEK COVID19 ANTIGEN RAPID TEST20TKIT NASOPHARYNGEAL SWAB,7,20.0,,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,828.0,828,,JUSCHEK® COVID-19 Antigen Rapid Test (Nasopharyngeal Swab),JUSCHEKCOVID19AntigenRapidTestNasopharyngealSwab,juschek  antigen rapid  nasopharyngeal swab,nan,"ACRO BIOTECH, INC.",acro biotech,,,,,,,,False,False,False,False,False,,,,,,,,,,IDN0069,,,,JUSCHEK COVID19 ANTIGEN RAPID TEST20TKIT NASOPHARYNGEAL SWAB,JUSCHEK COVID19 ANTIGEN RAPID TEST NASOPHARYNGEAL SWAB,0.9473684210526315,1,100,828.0,,,0
20,20,549,2021-02-10 03:00:00,38220010,"Pelat, lembaran, film, foil dan strip dari plastik diresapi atau dilapisi reagen diagnosa atau laboratorium",PT. BIOTEK INTI KORPORINDO,"JL. GAJAH MADA NO. 3-5, KOMPLEK DUTA MERLIN BLOK D11-13, JAKARTA PUSAT",ID - Indonesia,.,.,.,.,RAPIGEN INC.,"3~F4,16 LS-RO,91 BEON-GIL,DONGAN-GU,ANYANG-SI,GYEO",South Korea,0.0,53260.2,USD,234.0,Kg.,261.0,Kg.,16000.0,PCE,BIOCREDIT COVID-19 AG -,20,CT,0,0,0,0,SOEKARNO-HATTA (U),INCHEON INTL APT/SEOUL,GARUDA INDONESIA,0,0,0.0,0.0,North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Indonesia 2021-version-13.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIOCREDIT AG ,"['BIOCREDIT', 'AG']",[],[],,[],1.0,No Keyword present,SARS-CoV-2 Antigen Rapid Diagnostic Tests,2021-02-10,1.0,7.15e-05,0.0095458,0.1550075,0.7733354,1.3835086,1.2127092,0.7541478,4.35e-05,53260.2,16000.0,16000.0,0.0163125,0.0163125,0.014625,0.014625,3.3287625,3.3287625,"['PCE', 'BOX', 'PCE', 'BOX', 'PCE', 'BOX']",1,1.0,1.0,1.0,1.0,1.0,1.0,4.0,PCE,3,0,BIOCREDIT COVID19 AG ,8,21.0,,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,89.0,89,,BIOCREDIT COVID-19 Ag Test Nasal,BIOCREDITCOVID19AgTestNasal,biocredit  ag  nasal,nan,RapiGEN Inc.,rapigen,Republic of Korea,,Republic of Korea,Test approved by one or more regulatory bodies,,,,False,False,False,False,False,https://www.fda.gov/media/144574/download,https://www.fda.gov/media/144574/download,,,,,,,,,,,,BIOCREDIT COVID19 AG ,BIOCREDIT COVID19 AG TEST NASAL,0.8076923076923077,1,100,89.0,,,0
21,21,553,2021-02-10 03:00:00,38220090,Lain-lain,PT. RAFA TOPAZ UTAMA,JL.RADIN INTEN II TAMAN BUARAN INDAH I BLOK U NO.242 RT.006  RW.014 KL,ID - Indonesia,.,.,.,.,LIFOTRONIC TECHNOLOGY (HONG KONG) LIMITE,"19H, MAXGRAND PLAZA NO.3 TAI YAU STREET SAN PO KON",Hong Kong,0.0,53128.9,USD,538.07,Kg.,5359.0,Kg.,500.0,PCE,SARS-COV-2 IGG (ELECTROCHEMILUMINESCENCE,0,PK,0,0,0,0,SOEKARNO-HATTA (U),HONG KONG,GARUDA INDONESIA,0,0,0.0,0.0,Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Indonesia 2021-version-13.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SARS IGG ELECTROCHEMILUMINESCENCE,"['SARS', 'IGG', 'ELECTROCHEMILUMINESCENCE']",[],[],1,[],1.0,No Keyword present,SARS-CoV-2 Antibody Rapid Diagnostic Tests,2021-02-10,1.0,7.15e-05,0.0095458,0.1550075,0.7733354,1.3835086,1.2127092,0.7541478,4.35e-05,53128.9,500.0,500.0,10.718,10.718,1.07614,1.07614,106.2578,106.2578,[],1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,SARSCOV2 IGG ELECTROCHEMILUMINESCENCE,9,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,0.0,0,0,,,,0
